model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
elasticnet#2,-0.460038,,-3.218902,,-0.460038,-0.460038
elasticnet#1,-0.468781,,-3.513739,,-0.468781,-0.468781
lasso#2,-0.501584,,-3.547559,,-0.501584,-0.501584
pcr#2,-0.527219,,-2.726239,,-0.527219,-0.527219
pcr#1,-0.527219,,-2.726239,,-0.527219,-0.527219
lasso#1,-0.531873,,-3.783966,,-0.531873,-0.531873
L-En,-0.932662,,-3.779643,,-0.932662,-0.932662
ffn#1,-1.099964,,-1.618608,,-1.099964,-1.099964
ffn#2,-1.122097,,-1.6034,,-1.122097,-1.122097
ridge#1,-1.294816,,-1.516414,,-1.294816,-1.294816
ridge#2,-1.307927,,-1.510276,,-1.307927,-1.307927
lgbm_dart#1,-1.553419,,-1.290316,,-1.553419,-1.553419
N-En,-1.837412,,-4.300107,,-1.837412,-1.837412
lgbm_gbdt#2,-2.650561,,-2.945327,,-2.650561,-2.650561
lgbm_dart#2,-3.101109,,-1.428825,,-3.101109,-3.101109
rf#2,-3.468965,,-5.902811,,-3.468965,-3.468965
rf#1,-3.890829,,-4.989899,,-3.890829,-3.890829
lgbm_gbdt#1,-4.423172,,-2.993,,-4.423172,-4.423172
pls#2,-6.013175,,-4.018764,,-6.013175,-6.013175
pls#1,-8.695627,,-4.031552,,-8.695627,-8.695627
