model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.173259,0.120843,1.802854,2.069837,0.157317,0.173259
pls#1,0.164623,0.123339,1.575165,1.75786,0.148543,0.164623
rf#2,0.157555,0.104333,1.957593,2.159094,0.152623,0.157555
rf#1,0.154057,0.103418,1.889673,2.126606,0.144658,0.154057
N-En,0.144563,0.103038,1.905423,2.261231,0.138995,0.144563
pls#2,0.14134,0.122175,1.45003,1.715981,0.128294,0.14134
ffn#1,0.137312,0.127946,1.192568,1.78686,0.13638,0.137312
ffn#2,0.133966,0.129591,1.158324,1.77484,0.133302,0.133966
lgbm_dart#2,0.116148,0.082612,2.040498,2.384408,0.107503,0.116148
L-En,0.099082,0.072612,1.823043,2.154547,0.093465,0.099082
pcr#1,0.085958,0.041193,1.66327,2.305348,0.07771,0.085958
pcr#2,0.085958,0.041193,1.66327,2.305348,0.07771,0.085958
ridge#2,0.085461,0.073943,1.816787,2.165333,0.084535,0.085461
ridge#1,0.084748,0.07318,1.813413,2.167387,0.083906,0.084748
lgbm_gbdt#2,0.08109,0.046275,2.020837,2.460283,0.074819,0.08109
lgbm_gbdt#1,0.08106,0.046257,2.020532,2.460343,0.074784,0.08106
lasso#2,0.07198,0.051884,1.729743,2.215188,0.068015,0.07198
lasso#1,0.071953,0.051842,1.729593,2.215054,0.067981,0.071953
elasticnet#2,0.071064,0.052641,1.744411,2.222354,0.067578,0.071064
elasticnet#1,0.068581,0.052985,1.768606,2.234584,0.065924,0.068581
