model,family,is_ensemble,member_of,member_rank,estimator,params_json
ridge#1,linear,False,,,Ridge,"{""max_iter"": 10000, ""alpha"": 1.230509689148608}"
ridge#2,linear,False,,,Ridge,"{""max_iter"": 10000, ""alpha"": 0.8411253214777604}"
lasso#1,linear,False,,,Lasso,"{""max_iter"": 10000, ""alpha"": 0.6053082080079019}"
lasso#2,linear,False,,,Lasso,"{""max_iter"": 10000, ""alpha"": 0.35775015430826956}"
elasticnet#1,linear,False,,,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.8516144627787162, ""l1_ratio"": 0.10204481074802807}"
elasticnet#2,linear,False,,,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.6053082080079019, ""l1_ratio"": 0.3834415188257777}"
pcr#1,linear,False,,,Pipeline,"{""pca__n_components"": 1, ""ridge__alpha"": 1.0}"
pcr#2,linear,False,,,Pipeline,"{""pca__n_components"": 1, ""ridge__alpha"": 0.1}"
pls#1,linear,False,,,PLSRegression,"{""n_components"": 2}"
pls#2,linear,False,,,PLSRegression,"{""n_components"": 1}"
ridge#1,linear,False,L-En,1,Ridge,"{""max_iter"": 10000, ""alpha"": 1.230509689148608}"
ridge#2,linear,False,L-En,2,Ridge,"{""max_iter"": 10000, ""alpha"": 0.8411253214777604}"
lasso#1,linear,False,L-En,3,Lasso,"{""max_iter"": 10000, ""alpha"": 0.6053082080079019}"
lasso#2,linear,False,L-En,4,Lasso,"{""max_iter"": 10000, ""alpha"": 0.35775015430826956}"
elasticnet#1,linear,False,L-En,5,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.8516144627787162, ""l1_ratio"": 0.10204481074802807}"
elasticnet#2,linear,False,L-En,6,ElasticNet,"{""max_iter"": 10000, ""alpha"": 0.6053082080079019, ""l1_ratio"": 0.3834415188257777}"
pcr#1,linear,False,L-En,7,Pipeline,"{""pca__n_components"": 1, ""ridge__alpha"": 1.0}"
pcr#2,linear,False,L-En,8,Pipeline,"{""pca__n_components"": 1, ""ridge__alpha"": 0.1}"
pls#1,linear,False,L-En,9,PLSRegression,"{""n_components"": 2}"
pls#2,linear,False,L-En,10,PLSRegression,"{""n_components"": 1}"
