date,mid_t,F_t,y_price,abs_y
2023-05-25,2.0,26470.0,3055.860539543403,3055.860539543403
2023-05-25,2.5,26470.0,2474.2147380837264,2474.2147380837264
2023-05-25,2.0,26470.0,1921.9431379561147,1921.9431379561147
2022-12-30,1.92,16498.08,1478.8926733984063,1478.8926733984063
2023-04-27,2.0,29690.0,1387.775580214152,1387.775580214152
2023-05-25,4.5,26470.0,1138.460192105018,1138.460192105018
2022-03-24,9.0,43965.0,992.2892067430441,992.2892067430441
2023-06-29,3.0,30550.0,874.5377243195318,874.5377243195318
2023-03-30,2.0,27965.0,842.1303537731538,842.1303537731538
2023-05-25,4.0,26470.0,734.5586037880447,734.5586037880447
2023-04-27,3.0,29690.0,731.6768982192472,731.6768982192472
2023-04-27,3.0,29690.0,653.508678656845,653.508678656845
2023-03-30,3.0,27965.0,561.3013304988712,561.3013304988712
2023-08-24,3.0,25995.0,559.0193128475843,559.0193128475843
2022-07-25,2.0,21885.0,544.1827586772995,544.1827586772995
2023-05-25,14.5,26470.0,483.842895129534,483.842895129534
2023-05-25,10.0,26470.0,472.62484616116046,472.62484616116046
2023-04-27,4.0,29690.0,459.0551540063021,459.0551540063021
2021-02-18,30.0,52340.0,448.3760057212706,448.3760057212706
2020-02-25,10.0,9320.0,387.2885832723638,387.2885832723638
2023-03-30,2.0,27965.0,368.01765311722914,368.01765311722914
2023-06-29,2.0,30550.0,348.6314649869294,348.6314649869294
2023-03-30,5.0,27965.0,336.62543993965596,336.62543993965596
2021-01-27,5.0,31475.0,332.2236694099546,332.2236694099546
2023-08-24,5.0,25995.0,286.02024908351234,286.02024908351234
2020-02-25,15.0,9320.0,281.1778332896993,281.1778332896993
2023-03-30,6.0,27965.0,280.49173406660765,280.49173406660765
2023-08-24,2.0,25995.0,266.46772618424774,266.46772618424774
2020-03-12,5.0,6010.0,232.12567159402676,232.12567159402676
2022-02-28,55.0,42000.0,216.97732755563075,216.97732755563075
2020-02-25,20.0,9320.0,211.76832460352708,211.76832460352708
2021-03-25,35.0,52195.0,204.83523938893973,204.83523938893973
2022-02-22,12.0,37915.0,199.05588981671886,199.05588981671886
2021-02-09,80.0,47765.0,198.1403263848967,198.1403263848967
2022-09-29,9.0,19405.0,190.81722072598618,190.81722072598618
2023-05-25,22.5,26470.0,184.62224096967353,184.62224096967353
2022-07-28,11.0,23805.0,184.43785965261316,184.43785965261316
2023-05-25,25.5,26470.0,160.09201918145322,160.09201918145322
2022-08-19,57.5,21230.0,154.23744748247307,154.23744748247307
2020-11-25,3.0,18915.0,151.91712544426917,151.91712544426917
2022-06-21,5.0,20860.0,139.9445712442921,139.9445712442921
2022-01-24,10.0,37220.0,131.62543227323496,131.62543227323496
2022-08-19,80.0,21230.0,120.90639947372495,120.90639947372495
2021-03-25,17.0,52195.0,119.55075312723325,119.55075312723325
2020-03-26,5.0,6675.0,116.12359922386058,116.12359922386058
2020-06-25,2.0,9280.0,114.70826456668152,114.70826456668152
2020-12-21,65.0,22880.0,106.99719836871425,106.99719836871425
2021-10-21,160.0,62910.0,105.63037598870389,105.63037598870389
2022-09-09,25.0,21345.0,105.20069819008391,105.20069819008391
2021-02-04,207.5,37915.0,99.53155277750508,99.53155277750508
2023-04-27,11.0,29690.0,98.52098569047895,98.52098569047895
2023-02-23,3.0,23920.0,97.36323499404479,97.36323499404479
2020-03-02,15.0,8975.0,89.7215062370552,89.7215062370552
2022-06-22,8.0,20105.0,88.16903656140856,88.16903656140856
2022-05-24,50.5,29305.0,87.91986892493294,87.91986892493294
2021-03-03,210.0,50900.0,84.99133099274957,84.99133099274957
2021-07-29,22.0,39675.0,83.76318936533882,83.76318936533882
2022-09-08,50.0,19260.0,81.77868797903069,81.77868797903069
2021-05-27,4.0,38845.0,81.43378999164298,81.43378999164298
2021-10-21,207.5,62910.0,77.30601040143769,77.30601040143769
2021-03-03,242.5,50900.0,77.00666166995809,77.00666166995809
2021-08-20,142.5,48730.0,76.57152563937152,76.57152563937152
2021-04-29,21.0,52900.0,76.14941032253829,76.14941032253829
2022-05-23,62.5,29015.0,75.85363696035945,75.85363696035945
2020-12-18,30.0,22860.0,75.01353649359953,75.01353649359953
2023-08-24,9.0,25995.0,73.46552896380663,73.46552896380663
2022-02-03,65.0,36265.0,72.7173704978083,72.7173704978083
2021-08-20,190.0,48730.0,71.90674060067616,71.90674060067616
2022-02-28,185.0,42000.0,71.79180973442249,71.79180973442249
2022-07-08,4.0,21765.0,71.19625578813132,71.19625578813132
2022-03-24,80.0,43965.0,70.88176823346768,70.88176823346768
2020-01-29,32.5,9390.0,70.6708278112946,70.6708278112946
2022-07-18,40.0,21620.0,68.08016327050512,68.08016327050512
2022-01-25,70.0,36855.0,65.23839937006808,65.23839937006808
2021-02-09,220.0,47765.0,65.159494124897,65.159494124897
2021-02-09,275.0,47765.0,64.22240483625428,64.22240483625428
2021-06-21,127.5,32560.0,63.79799394090489,63.79799394090489
2020-02-24,75.0,9600.0,61.877191776609884,61.877191776609884
2022-05-05,202.5,36270.0,61.569894273181994,61.569894273181994
2020-03-26,5.0,6675.0,60.554609224389836,60.554609224389836
2020-03-25,12.5,6630.0,57.514677293506026,57.514677293506026
2020-06-25,4.0,9280.0,57.383854895299095,57.383854895299095
2020-09-22,6.0,10495.0,56.523925364346276,56.523925364346276
2021-02-09,285.0,47765.0,55.90369933306878,55.90369933306878
2022-09-13,30.5,20240.0,55.626285954006576,55.626285954006576
2023-08-24,34.5,25995.0,54.18680298476224,54.18680298476224
