date,optionid,optionsymbol,futuresymbol,expiration,strike,is_call,dte,tau,F_t,F_tp1,mid_t,V_tp1,V_tp1_modeled_flag,iv,delta_model,gamma_model,vega_model,theta_model,log_moneyness,moneyness_std,opt_rel_spread_raw,opt_rel_spread_final,opt_rel_spread_imputed_flag,dh_pnl,y_price,dh_ret
2023-03-30,2015990640,BTC 23H23500P,BTC 23H,2023-04-03,23500.0,0,4,0.010958904109589041,27965.0,28476.5,9.0,222.5,0,0.745599,-0.011667999112982325,1.3964283217380616e-05,89.23202307785871,-8.315224975650297,-0.173953307123438,-3.373370194101941,,1.9130434782608696,1,219.46818154629045,24.374990883955054,24.385353505143385
2023-03-30,2015990638,BTC 23H23000P,BTC 23H,2023-04-03,23000.0,0,4,0.010958904109589041,27965.0,28476.5,6.0,1685.0,0,0.784343,-0.0077231757568834445,9.254362904989588e-06,62.20844209323786,-6.098302229110735,-0.19545951234440162,-3.790426890984154,,0.31007751937984496,1,1682.9504043996458,24.374990883955054,280.49173406660765
2023-03-30,2015990636,BTC 23H22500P,BTC 23H,2023-04-03,22500.0,0,4,0.010958904109589041,27965.0,28476.5,5.0,1685.0,0,0.843947,-0.006113782401329129,6.997023486656208e-06,50.60871142129407,-5.338223534418663,-0.2174384190631769,-4.216650399177944,,1.02,1,1683.1271996982798,24.374990883955054,336.62543993965596
2023-03-30,2015990634,BTC 23H22000P,BTC 23H,2023-04-03,22000.0,0,4,0.010958904109589041,27965.0,28476.5,3.0,1685.0,0,0.871226,-0.003722368517328531,4.354727783684666e-06,32.51536353866892,-3.540632623273472,-0.2399112749152354,-4.652452761095035,,0.22727272727272727,1,1683.9039914966136,24.374990883955054,561.3013304988712
2023-03-30,2015990632,BTC 23H21500P,BTC 23H,2023-04-03,21500.0,0,4,0.010958904109589041,27965.0,28476.5,2.0,1685.0,0,0.908635,-0.002464726385743385,2.8801888918332043e-06,22.428860347062095,-2.54719184494069,-0.2629007931399342,-5.098274440707777,,0.4158805031446541,1,1684.2607075463077,24.374990883955054,842.1303537731538
2022-01-24,2013651652,BTC 22F20000P,BTC 22F,2022-01-31,20000.0,0,7,0.019178082191780823,37220.0,36855.0,10.0,1327.5,0,1.734969,-0.0034128144319186798,1.1489267745246893e-06,52.959269113011665,-6.563038338257293,-0.6211139776601138,-8.938290869304229,,0.5934718100890207,1,1316.2543227323497,24.374990883955054,131.62543227323496
2022-01-24,2013651682,BTC 22F27000P,BTC 22F,2022-01-31,27000.0,0,7,0.019178082191780823,37220.0,36855.0,70.0,2020.0,0,1.256252,-0.02666940063284061,9.527610897037716e-06,317.993828748794,-28.534236377628048,-0.32100938520977557,-4.619563171949137,,0.8413842826243692,1,1940.2656687690132,24.374990883955054,27.718080982414474
2022-01-03,2013651686,BTC 22F28000P,BTC 22F,2022-01-31,28000.0,0,28,0.07671232876712329,45865.0,46305.0,80.0,2520.0,0,0.900821,-0.017745549341629016,3.8217505818192644e-06,555.5572312894486,-8.936633597109987,-0.49349778878641487,-2.809753730601797,0.625,0.625,0,2447.808041710317,24.374990883955054,30.59760052137896
2020-02-24,2010720735,BTC 20G10000C,BTC 20G,2020-03-02,10000.0,1,7,0.019178082191780823,9600.0,9320.0,75.0,4650.0,0,0.393244,0.23496208302050522,0.0005876664346182739,408.45162925650186,-11.469909311831637,0.0408219945202552,0.7347144218594899,0.26666666666666666,0.26666666666666666,0,4640.789383245741,24.374990883955054,61.877191776609884
2022-01-25,2013651715,BTC 22F41000C,BTC 22F,2022-01-31,41000.0,1,6,0.01643835616438356,36855.0,37060.0,70.0,4650.0,0,0.536659,0.06493680046455945,4.996274288236725e-05,598.6815943456317,-26.77389291442626,0.1065807720630556,1.6804186504185137,,0.21137136339455187,1,4566.687955904766,24.374990883955054,65.23839937006808
2022-01-26,2013651717,BTC 22F42000C,BTC 22F,2022-01-31,42000.0,1,5,0.0136986301369863,37060.0,35565.0,16.0,702.5,0,0.512984,0.019982628389828713,2.174401522506521e-05,209.86090094337786,-10.76551090557716,0.12513139742615448,2.254464000250589,,0.19047619047619047,1,716.3740294427939,24.374990883955054,44.77337684017462
2021-10-08,2013668884,BTC 21V26700P,BTC 21V,2021-11-01,26700.0,0,24,0.06575342465753424,55180.0,57990.0,56.0,1772.5,0,1.28326,-0.008878631323656256,1.3228128901423488e-06,339.8559244391331,-9.08582433906607,-0.7259370033829361,-5.0481614407079345,1.3928571428571428,1.3928571428571428,0,1741.448954019474,24.374990883955054,31.09730275034775
2022-02-03,2013804574,BTC 22G21000P,BTC 22G,2022-02-28,21000.0,0,25,0.0684931506849315,36265.0,40640.0,65.0,4715.0,0,1.060046,-0.017515218824580653,4.2986957421106225e-06,410.47236784937394,-8.70229591119028,-0.5463306510919528,-4.446688139250829,0.9230769230769231,0.9230769230769231,0,4726.62908235754,24.374990883955054,72.7173704978083
2021-06-21,2013102646,BTC 21M36400C,BTC 21M,2021-06-28,36400.0,1,7,0.019178082191780823,32560.0,32480.0,260.0,7880.0,0,0.756221,0.15572504447657345,7.009741675317085e-05,1077.7665857452162,-58.21604592956139,0.1114842335083555,1.3279026954853568,0.46153846153846156,0.46153846153846156,0,7632.458003558126,24.374990883955054,29.355607705992792
2021-06-21,2013102640,BTC 21M36100C,BTC 21M,2021-06-28,36100.0,1,7,0.019178082191780823,32560.0,32480.0,297.5,8255.0,0,0.75432,0.17469463988216138,7.57034628154062e-05,1161.0350645230385,-62.556151464858715,0.10320832420449566,1.2293273012224168,0.42016806722689076,0.42016806722689076,0,7971.475571190573,24.374990883955054,26.794875869548143
2021-09-20,2012941701,BTC 21U55000C,BTC 21U,2021-09-27,55000.0,1,7,0.019178082191780823,43780.0,42030.0,23.0,645.0,0,0.74102,0.014927780791214852,8.39439865192804e-06,228.6526345961482,-12.10255244202588,0.22815609313775412,3.4787216767463853,,0.2,1,648.123616384626,24.374990883955054,28.17928766889678
2021-03-25,2012522358,BTC 21H50400P,BTC 21H,2021-03-29,50400.0,0,4,0.010958904109589041,52195.0,59840.0,295.0,8960.0,0,0.43397,-0.21387944073638182,0.00012284957867941465,1591.6893492316349,-86.34309753833118,-0.03499552978293878,-0.4795946429361625,,1.810483870967742,1,10300.108324429639,24.374990883955054,34.91562143874454
2023-03-30,2016055237,BTC 23H33000C,BTC 23H,2023-04-03,33000.0,1,4,0.010958904109589041,27965.0,28476.5,2.0,740.0,0,0.586536,0.0038410435298958864,6.652994019887919e-06,33.44325808647927,-2.451695258626759,0.16555383319292885,3.21048432851038,,0.08695652173913043,1,736.0353062344583,24.374990883955054,368.01765311722914
2023-03-30,2016054324,BTC 23H32000C,BTC 23H,2023-04-03,32000.0,1,4,0.010958904109589041,27965.0,28476.5,6.0,175.0,0,0.555012,0.010983775710989718,1.7799756386166967e-05,84.66681169403768,-5.873094773181731,0.1347821745261753,2.6137483544374915,,0.32470889441421924,1,163.38179872382875,24.374990883955054,27.23029978730479
2021-06-21,2012456423,BTC 21M37000C,BTC 21M,2021-06-28,37000.0,1,7,0.019178082191780823,32560.0,32480.0,197.5,7810.0,0,0.761416,0.12310378742121554,5.932023826279596e-05,918.3301718101989,-49.94481789001565,0.127833371509885,1.5226393298764969,0.5822784810126582,0.5822784810126582,0,7622.348302993697,24.374990883955054,38.594168622752896
2021-06-21,2012456425,BTC 21M38000C,BTC 21M,2021-06-28,38000.0,1,7,0.019178082191780823,32560.0,32480.0,127.5,8255.0,0,0.779804,0.08430284331716452,4.398231471160677e-05,697.3286493925834,-38.84122692460476,0.15450161859204625,1.8402881674730465,0.8235294117647058,0.8235294117647058,0,8134.244227465373,24.374990883955054,63.79799394090489
2021-06-17,2012456445,BTC 21M47000C,BTC 21M,2021-06-28,47000.0,1,11,0.030136986301369864,37665.0,35285.0,130.0,3435.0,0,0.784412,0.05962827889710626,2.3112539701620524e-05,775.1177162686922,-27.63672140466179,0.22141632043240053,2.1988672013293624,0.6153846153846154,0.6153846153846154,0,3446.915303775113,24.374990883955054,26.514733105962407
2021-06-17,2012456451,BTC 21M50000C,BTC 21M,2021-06-28,50000.0,1,11,0.030136986301369864,37665.0,35285.0,77.5,3415.0,0,0.866127,0.03523169659729457,1.3718033530801094e-05,507.9830268135004,-19.99888885343289,0.2832917241504881,2.8133467281276325,0.967741935483871,0.967741935483871,0,3421.351437901561,24.374990883955054,44.14647016647176
2021-02-24,2012468299,BTC 21G37500P,BTC 21G,2021-03-01,37500.0,0,5,0.0136986301369863,49135.0,49120.0,50.0,2292.5,0,1.157529,-0.01958583781063433,7.145505067254665e-06,273.5419084350032,-31.66324177531374,-0.270230678838025,-2.8094134990878485,,0.8387096774193549,1,2242.2062124328404,24.374990883955054,44.84412424865681
2023-05-25,2016025693,BTC 23K23000P,BTC 23K,2023-05-30,23000.0,0,5,0.0136986301369863,26470.0,26750.93,4.5,5125.0,0,0.51549,-0.009151263562386316,1.5442235113889548e-05,76.4038824550862,-3.9378506270330305,-0.14051780030986022,-3.598640006557298,0.6666666666666666,0.6666666666666666,0,5123.070864472581,24.374990883955054,1138.460192105018
2023-04-27,2016024931,BTC 23J26000P,BTC 23J,2023-05-01,26000.0,0,4,0.010958904109589041,29690.0,27915.0,2.0,2785.0,0,0.485683,-0.004196529336167015,8.19184335721922e-06,38.43457328532777,-2.333113804459625,-0.13271375075418637,-3.134571409773815,,0.09321340964840556,1,2775.551160428304,24.374990883955054,1387.775580214152
2021-04-23,2012638819,BTC 21J35200P,BTC 21J,2021-05-03,35200.0,0,10,0.0273972602739726,50845.0,54070.0,130.0,4025.0,0,1.190106,-0.024690348673285716,5.774583484172405e-06,486.75446949828313,-28.96444333598741,-0.36773570663904936,-4.023312583004233,0.7692307692307693,0.7692307692307693,0,3974.6263744713465,24.374990883955054,30.574049034394974
2023-06-29,2016023547,BTC 23M28000P,BTC 23M,2023-07-03,28000.0,0,4,0.010958904109589041,30550.0,30128.51,3.0,2630.0,0,0.348533,-0.008035367485360687,1.974005429427965e-05,70.36906869696111,-3.0653269500379863,-0.08716017544240046,-2.4119479378675517,,0.46153846153846156,1,2623.6131729585954,24.374990883955054,874.5377243195318
2021-04-29,2012638951,BTC 21J43400P,BTC 21J,2021-05-03,43400.0,0,4,0.010958904109589041,52900.0,57765.0,21.0,1560.0,0,0.859192,-0.012361277856794235,6.735349800579626e-06,177.47159452195274,-19.060266026588344,-0.1979438977578946,-3.8795445161346134,,0.7866531850353893,1,1599.137616773304,24.374990883955054,76.14941032253829
2021-05-27,2012639019,BTC 21K27500P,BTC 21K,2021-06-01,27500.0,0,5,0.0136986301369863,38845.0,36841.35,4.0,335.0,0,1.081902,-0.0026276246018157286,1.650414614450793e-06,36.90866830220891,-3.9931551094465685,-0.34539336372985846,-3.8169730150135277,,0.8,1,325.7351599665719,24.374990883955054,81.43378999164298
2021-07-08,2012639184,BTC 21N60000C,BTC 21N,2021-08-02,60000.0,1,25,0.0684931506849315,32960.0,33455.0,45.0,1347.5,0,1.003829,0.015821484687701913,4.57834703018555e-06,341.9715655533305,-6.865557847641668,0.5990498571808298,3.818902922909802,,1.4426229508196722,1,1294.6683650795876,24.374990883955054,28.770408112879725
2023-04-27,2016024287,BTC 23J36000C,BTC 23J,2023-05-01,36000.0,1,4,0.010958904109589041,29690.0,27915.0,3.0,2190.0,0,0.695594,0.00452433501844596,6.117435131084374e-06,41.10671028101049,-3.5738022975639767,0.19270864968044155,4.5515933373269934,,0.31007751937984496,1,2195.0306946577416,24.374990883955054,731.6768982192472
2021-06-21,2012797660,BTC 21M27500P,BTC 21M,2021-06-28,27500.0,0,7,0.019178082191780823,32560.0,32480.0,257.5,8495.0,0,1.015242,-0.10175593716550779,3.882641212709573e-05,801.4396119581702,-58.117903402709274,-0.1688985364618139,-2.0117716628904763,0.4077669902912621,0.4077669902912621,0,8229.359525026759,24.374990883955054,31.95867776709421
2023-06-29,2016024120,BTC 23M33000C,BTC 23M,2023-07-03,33000.0,1,4,0.010958904109589041,30550.0,30128.51,11.0,410.0,0,0.371785,0.024831613178030627,4.887212437480049e-05,185.8414721901852,-8.635109094450193,0.07714287584887601,2.134743297388488,,0.08121668443496802,1,409.46627663840815,24.374990883955054,37.22420696712801
2023-04-27,2016023895,BTC 23J32000C,BTC 23J,2023-05-01,32000.0,1,4,0.010958904109589041,29690.0,27915.0,35.0,1565.0,0,0.451407,0.05912261498094269,8.392089252006691e-05,365.9535003403657,-20.644634297386055,0.07492561402405819,1.7696710871699353,,1.1435897435897435,1,1634.9426415911732,24.374990883955054,46.71264690260495
2021-08-20,2012797818,BTC 21Q40000P,BTC 21Q,2021-08-30,40000.0,0,10,0.0273972602739726,48730.0,49280.0,190.0,13820.0,0,0.795107,-0.05869220750630851,1.82563885079781e-05,944.366134165162,-37.5433733127399,-0.19741540274147854,-1.7676930476996309,0.6842105263157895,0.6842105263157895,0,13662.28071412847,24.374990883955054,71.90674060067616
2023-05-25,2016023604,BTC 23K24000P,BTC 23K,2023-05-30,24000.0,0,5,0.0136986301369863,26470.0,26750.93,10.0,4730.0,0,0.42174,-0.02224205891718338,4.0538289931359605e-05,164.0949593432028,-6.919015979306687,-0.09795818589106434,-2.508694599118518,0.6,0.6,0,4726.248461611604,24.374990883955054,472.62484616116046
2022-02-03,2013804640,BTC 22G24000P,BTC 22G,2022-02-28,24000.0,0,25,0.0684931506849315,36265.0,40640.0,127.5,3980.0,0,0.934367,-0.03511830232504314,8.737404574621512e-06,735.398001095391,-13.742447489829617,-0.4127992584674301,-3.3598509672665444,0.5098039215686274,0.5098039215686274,0,4006.1425726720636,24.374990883955054,31.42072606017305
2021-10-28,2013848367,BTC 21V65800C,BTC 21V,2021-11-01,65800.0,1,4,0.010958904109589041,61335.0,61149.26,35.0,1027.5,0,0.372152,0.037194796977768896,3.39883339404246e-05,521.4757291153898,-24.25848149756641,0.07026919584655615,1.3575626844769928,,1.1529411764705881,1,999.4085615906507,24.374990883955054,28.55453033116145
2020-12-21,2012269342,BTC 20Z22300P,BTC 20Z,2020-12-28,22300.0,0,7,0.019178082191780823,22880.0,23445.0,357.5,9805.0,0,0.537373,-0.35113587509835714,0.00021779174431866421,1174.9908125427082,-45.09955994831442,-0.025676488045524033,-0.35426299213035184,0.26573426573426573,0.26573426573426573,0,9645.891769430571,24.374990883955054,26.981515438966632
2022-03-01,2013969540,BTC 22H32000P,BTC 22H,2022-03-28,32000.0,0,27,0.07397260273972603,44240.0,43925.0,362.5,11595.0,0,0.861939,-0.06695513533728277,1.2509535639021315e-05,1561.0573435418569,-24.916878090224618,-0.3238934544143528,-2.3773633610309246,0.23448275862068965,0.23448275862068965,0,11211.409132368755,24.374990883955054,30.928025192741394
2022-07-08,2014611879,BTC 22N41500C,BTC 22N,2022-08-01,41500.0,1,24,0.06575342465753424,21765.0,20455.0,4.0,285.0,0,0.876319,0.0028893306507826668,1.8081991514396432e-06,49.35648342914163,-0.9009161706439719,0.6453902522323918,3.7876633507848623,,0.3333333333333333,1,284.7850231525253,24.374990883955054,71.19625578813132
2022-07-28,2014644154,BTC 22N20500P,BTC 22N,2022-08-01,20500.0,0,4,0.010958904109589041,23805.0,24082.45,11.0,2035.0,0,0.687937,-0.017359726721011697,2.503523969919747e-05,106.95569658597702,-9.196660537073102,-0.1494707565021196,-1.9348627177760702,,0.5700854700854701,1,2028.8164561787446,24.374990883955054,184.43785965261316
2022-09-08,2015198905,BTC 22U11500P,BTC 22U,2022-10-03,11500.0,0,25,0.0684931506849315,19260.0,21345.0,50.0,4085.0,0,1.093749,-0.02586781724294234,1.0905663941145587e-05,303.06060752215683,-6.625695817143947,-0.5156833710007751,-3.9205892585718725,1.0,1.0,0,4088.9343989515346,24.374990883955054,81.77868797903069
2022-08-19,2014671199,BTC 22Q20000P,BTC 22Q,2022-08-29,20000.0,0,10,0.0273972602739726,21230.0,20965.0,400.0,10395.0,0,0.626973,-0.2651655257356575,0.0001486691400693331,1151.0038916455983,-36.058992814360245,-0.05968300216117377,-0.9559963165586532,0.175,0.175,0,9924.731135680051,24.374990883955054,24.811827839200127
2022-08-19,2014671365,BTC 22Q22500C,BTC 22Q,2022-08-29,22500.0,1,10,0.0273972602739726,21230.0,20965.0,327.5,10060.0,0,0.571237,0.2851102218837483,0.00016910584387965768,1192.8396580090066,-34.0484683711021,0.05810003349520975,0.9306404839247205,0.1984732824427481,0.1984732824427481,0,9808.054208799193,24.374990883955054,29.948257126104405
2022-08-19,2014674477,BTC 22Q24500C,BTC 22Q,2022-08-29,24500.0,1,10,0.0273972602739726,21230.0,20965.0,80.0,9730.0,0,0.608419,0.08495078452073661,7.273966823161111e-05,546.48872698326,-16.619708813462758,0.14325784183551665,2.294689679702309,0.625,0.625,0,9672.511957897996,24.374990883955054,120.90639947372495
2022-08-01,2014676277,BTC 22Q15000P,BTC 22Q,2022-08-29,15000.0,0,28,0.07671232876712329,23030.0,23000.0,100.0,3615.0,0,0.910419,-0.03383670059195665,1.2937376969144343e-05,479.22623832001716,-7.785703265693004,-0.4287475127303837,-2.2848524753082224,0.7,0.7,0,3513.9848989822412,24.374990883955054,35.13984898982241
2022-08-19,2014676880,BTC 22Q25000C,BTC 22Q,2022-08-29,25000.0,1,10,0.0273972602739726,21230.0,20965.0,57.5,8910.0,0,0.61813,0.060955585819632487,5.5516521341268585e-05,423.7494926727006,-13.093177986853181,0.163460549153036,2.6182946104312363,0.782608695652174,0.782608695652174,0,8868.653230242202,24.374990883955054,154.23744748247307
2022-08-19,2014745866,BTC 22Q19000P,BTC 22Q,2022-08-29,19000.0,0,10,0.0273972602739726,21230.0,20965.0,202.5,8420.0,0,0.676179,-0.1473397309521434,9.693977440575547e-05,809.4141780360026,-27.353574604466782,-0.11097629654872421,-1.7776071391214114,0.32098765432098764,0.32098765432098764,0,8178.454971297682,24.374990883955054,40.38743195702559
2022-09-13,2014825037,BTC 22U30000C,BTC 22U,2022-10-03,30000.0,1,20,0.0547945205479452,20240.0,19925.0,30.5,1720.0,0,0.801668,0.02254514792762117,1.4104214301987347e-05,253.80583010975818,-5.084825924504033,0.39353653724289067,3.6979329591681758,0.9508196721311475,0.9508196721311475,0,1696.6017215972006,24.374990883955054,55.626285954006576
2022-09-09,2014830300,BTC 22U10000P,BTC 22U,2022-10-03,10000.0,0,24,0.06575342465753424,21345.0,22455.0,25.0,2645.0,0,1.349578,-0.00902473401089877,3.2978545859619805e-06,133.33377884329064,-3.747278266139706,-0.7582324272158797,-6.244509083752559,,0.158890290037831,1,2630.017454752098,24.374990883955054,105.20069819008391
2022-04-26,2014831147,BTC 22J41250C,BTC 22J,2022-05-02,41250.0,1,6,0.01643835616438356,38220.0,38900.0,121.5,3790.0,0,0.438637,0.09200883049874617,7.679664965918207e-05,808.8859422387831,-29.566609477489926,0.07629217396856293,1.461025245320245,1.6213991769547325,1.6213991769547325,0,3605.9339952608525,24.374990883955054,29.67846909679714
2022-09-07,2014832989,BTC 22U25000C,BTC 22U,2022-10-03,25000.0,1,26,0.07123287671232877,18925.0,19260.0,105.0,5370.0,0,0.655718,0.0662812346241288,3.885252118806897e-05,649.9629054540354,-8.19038386106224,0.2783920255446883,2.1900758011107935,0.47619047619047616,0.47619047619047616,0,5242.795786400917,24.374990883955054,49.93138844191349
2022-09-12,2014834388,BTC 22U32000C,BTC 22U,2022-10-03,32000.0,1,21,0.057534246575342465,22455.0,20240.0,55.0,2750.0,0,0.77731,0.03536405963489816,1.8609094670815615e-05,419.6353338756053,-7.762914587202486,0.35422259626002517,3.176656449657286,0.7272727272727273,0.7272727272727273,0,2773.331392091299,24.374990883955054,50.424207128932714
2022-04-26,2014837331,BTC 22J41750C,BTC 22J,2022-05-02,41750.0,1,6,0.01643835616438356,38220.0,38900.0,60.0,3195.0,0,0.445414,0.06445863285144472,5.77152134335621e-05,617.2966510071667,-22.91227035806509,0.08834051248473747,1.6917556835896899,,1.2758158675471336,1,3091.1681296610177,24.374990883955054,51.51946882768363
2022-09-23,2014888204,BTC 22U22000C,BTC 22U,2022-10-03,22000.0,1,10,0.0273972602739726,18745.0,19180.0,32.0,895.0,0,0.55275,0.044125857508547466,5.439365898709795e-05,289.43766805687255,-7.996876175649655,0.1601154031704406,1.4428486962686677,0.8125,0.8125,0,843.8052519837819,24.374990883955054,26.368914124493184
2022-09-29,2014904054,BTC 22U21000C,BTC 22U,2022-10-03,21000.0,1,4,0.010958904109589041,19405.0,19698.6,9.0,1735.0,0,0.395153,0.029444868753830428,8.3456427574798e-05,136.08789450088628,-6.72121261632802,0.07899167290255339,1.147333039938132,,0.11035085866530303,1,1717.3549865338755,24.374990883955054,190.81722072598618
2022-07-18,2015188518,BTC 22N13000P,BTC 22N,2022-08-01,13000.0,0,14,0.038356164383561646,21620.0,23460.0,40.0,2730.0,0,1.32091,-0.01804702761967663,7.931817647312679e-06,187.84191179390098,-8.859821552576344,-0.5086694547495255,-3.584318598196188,,0.3523691055071808,1,2723.206530820205,24.374990883955054,68.08016327050512
2022-06-08,2015126867,BTC 22M37750C,BTC 22M,2022-06-27,37750.0,1,19,0.052054794520547946,30080.0,29945.0,110.0,3355.0,0,0.615121,0.060764939787518034,2.849672109313475e-05,825.6041096420091,-13.362193037446394,0.2271249766133946,2.431886647326417,0.45454545454545453,0.45454545454545453,0,3253.203266871315,24.374990883955054,29.57457515337559
2022-09-28,2015032157,BTC 22U16000P,BTC 22U,2022-10-03,16000.0,0,5,0.0136986301369863,19565.0,19405.0,23.0,815.0,0,0.921139,-0.027436662685056765,2.994658079066785e-05,144.64694237378063,-13.322116225587129,-0.2011535334225945,-2.6461851546270894,,0.1170940170940171,1,787.610133970391,24.374990883955054,34.243918868277866
2022-12-30,2015032177,BTC 22Z16500P,BTC 22Z,2023-01-03,16500.0,0,4,0.010958904109589041,16498.08,16615.0,1.92,2725.0,0,0.0004195522279887985,-0.995500623716574,0.016452168293938776,20.589372569420323,-0.000853597858937838,0.00011637040713667076,0.0031712079899833337,,0.14084507042253522,1,2839.47393292494,24.374990883955054,1478.8926733984063
2022-07-28,2014611849,BTC 22N26500C,BTC 22N,2022-08-01,26500.0,1,4,0.010958904109589041,23805.0,24082.45,4.0,162.5,0,0.441492,0.010794673470868625,2.589359303201543e-05,70.99351100048202,-3.9176335442087162,0.10724909034569445,1.3883134820578698,,0.3205128205128205,1,155.5050178455075,24.374990883955054,38.876254461376874
2022-07-25,2014611808,BTC 22N15000P,BTC 22N,2022-08-01,15000.0,0,7,0.019178082191780823,21885.0,20915.0,2.0,1092.5,0,0.981254,-0.0022004975725784266,2.3248670665112485e-06,20.954526079355993,-1.4686099123774308,-0.3777512695406486,-3.7729341685118065,,1.2363636363636363,1,1088.365517354599,24.374990883955054,544.1827586772995
2023-06-29,2015256280,BTC 23M35000C,BTC 23M,2023-07-03,35000.0,1,4,0.010958904109589041,30550.0,30128.51,2.0,697.5,0,0.487914,0.004182613997624614,7.901303293813373e-06,39.430435013178545,-2.4045554065027837,0.1359833758718093,3.7630124234321496,,0.31007751937984496,1,697.2629299738588,24.374990883955054,348.6314649869294
2023-05-25,2015883194,BTC 23K25000P,BTC 23K,2023-05-30,25000.0,0,5,0.0136986301369863,26470.0,26750.93,22.5,4160.0,0,0.315629,-0.058734993833533165,0.00011978596618913208,362.8840351104886,-11.450206995851861,-0.057136191370809136,-1.4632493793377412,0.6666666666666666,0.6666666666666666,0,4154.000421817655,24.374990883955054,184.62224096967353
2022-03-24,2013969556,BTC 22H40000P,BTC 22H,2022-03-28,40000.0,0,4,0.010958904109589041,43965.0,46550.0,9.0,8905.0,0,0.411645,-0.013386019608277218,1.8121301664438998e-05,158.01325398151727,-8.130604165554036,-0.0945144087170291,-1.4707904205358004,,0.28321505198877706,1,8930.602860687397,24.374990883955054,992.2892067430441
