date,optionid,optionsymbol,futuresymbol,expiration,strike,is_call,dte,tau,F_t,F_tp1,mid_t,V_tp1,V_tp1_modeled_flag,iv,delta_model,gamma_model,vega_model,theta_model,log_moneyness,moneyness_std,opt_rel_spread_raw,opt_rel_spread_final,opt_rel_spread_imputed_flag,dh_pnl,y_price,dh_ret
2023-08-24,2017021000,BTC 23Q26750C,BTC 23Q,2023-08-28,26750.0,1,4,0.010958904109589041,25995.0,26003.36,34.5,1905.0,0,0.236499,0.1262317016390961,0.0003219959974661476,563.9317576245111,-16.665354044981353,0.028630261506336407,0.967310245445182,0.8985507246376812,0.8985507246376812,0,1869.4447029742971,24.374990883955054,54.18680298476224
2022-02-22,2013804717,BTC 22G45000C,BTC 22G,2022-02-28,45000.0,1,6,0.01643835616438356,37915.0,37660.0,12.0,2397.5,0,0.585792,0.012434030590692587,1.1311309293673044e-05,156.58019179967656,-7.643602203540666,0.1713156776174209,3.0507602130135303,,0.873015873015873,1,2388.6706778006264,24.374990883955054,199.05588981671886
2021-07-29,2013145192,BTC 21N42400C,BTC 21N,2021-08-02,42400.0,1,4,0.010958904109589041,39675.0,39020.92,22.0,1840.0,0,0.353685,0.037900816471156173,5.6142697668111405e-05,342.5397023191402,-15.143864189586989,0.06642709582543936,0.9139372222173123,,0.17040358744394618,1,1842.790166037454,24.374990883955054,83.76318936533882
2021-10-22,2013146333,BTC 21V45000P,BTC 21V,2021-11-01,45000.0,0,10,0.0273972602739726,61080.0,62725.0,65.0,2145.0,0,0.905465,-0.01728015287473229,4.670233388475493e-06,432.2305349310524,-19.568398873304904,-0.3055219905801119,-3.25955395646301,1.3846153846153846,1.3846153846153846,0,2108.4258514789344,24.374990883955054,32.43732079198361
2021-10-21,2013146341,BTC 21V49000P,BTC 21V,2021-11-01,49000.0,0,11,0.030136986301369864,62910.0,61080.0,207.5,16335.0,0,0.903303,-0.04726931240528864,9.99552362862492e-06,1076.906984802463,-44.21680014551843,-0.24988483547131168,-2.538553584455254,0.5542168674698795,0.5542168674698795,0,16040.997158298322,24.374990883955054,77.30601040143769
2021-10-22,2013146355,BTC 21V55000P,BTC 21V,2021-11-01,55000.0,0,10,0.0273972602739726,61080.0,62725.0,680.0,18820.0,0,0.691022,-0.16505288069510982,3.553882392951454e-05,2510.152564696523,-86.72764870832411,-0.10485129511796078,-1.1186378211044141,0.25,0.25,0,18411.511988743456,24.374990883955054,27.07575292462273
2021-10-21,2013146408,BTC 21V80000C,BTC 21V,2021-11-01,80000.0,1,11,0.030136986301369864,62910.0,61080.0,160.0,16975.0,0,0.7936,0.04691811923094261,1.1309431643861822e-05,1070.4875733567465,-38.615274774251226,0.24032150109194342,2.4414006831105195,0.6875,0.6875,0,16900.860158192623,24.374990883955054,105.63037598870389
2023-04-27,2016021815,BTC 23J27000P,BTC 23J,2023-05-01,27000.0,0,4,0.010958904109589041,29690.0,27915.0,8.0,352.5,0,0.429868,-0.016454062435938,3.068374152188031e-05,127.41805003316794,-6.845563575466149,-0.09497342277133937,-2.24318108723192,,0.10962639760021817,1,315.29403917621005,24.374990883955054,39.411754897026256
2021-08-20,2013306258,BTC 21Q38600P,BTC 21Q,2021-08-30,38600.0,0,10,0.0273972602739726,48730.0,49280.0,142.5,11030.0,0,0.858473,-0.04353164292807472,1.3327767989931169e-05,744.3617064927066,-31.950543278696692,-0.23304258038462963,-2.0867052086272633,0.9473684210526315,0.9473684210526315,0,10911.442403610441,24.374990883955054,76.57152563937152
2021-09-23,2013306263,BTC 21U41500P,BTC 21U,2021-09-27,41500.0,0,4,0.010958904109589041,44785.0,48390.0,72.5,1900.0,0,0.502974,-0.07035694052976456,5.716221001404261e-05,631.9559847087662,-39.73207594174817,-0.07617983469050603,-1.488447979303559,1.0344827586206897,1.0344827586206897,0,2081.1367706098013,24.374990883955054,28.70533476703174
