model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,-0.300964,,-0.567697,,-0.300964,-0.300964
lgbm_dart#2,-0.50636,,-0.88137,,-0.50636,-0.50636
lgbm_gbdt#1,-0.527383,,-2.146937,,-0.527383,-0.527383
lgbm_gbdt#2,-0.583064,,-1.685648,,-0.583064,-0.583064
rf#1,-0.630449,,-2.200106,,-0.630449,-0.630449
pcr#2,-0.688837,,-0.507358,,-0.688837,-0.688837
pcr#1,-0.688837,,-0.507358,,-0.688837,-0.688837
rf#2,-0.746397,,-2.119328,,-0.746397,-0.746397
elasticnet#1,-1.005481,,-1.321681,,-1.005481,-1.005481
L-En,-1.035248,,-2.028898,,-1.035248,-1.035248
elasticnet#2,-1.440873,,-1.294995,,-1.440873,-1.440873
lasso#1,-1.594439,,-1.32595,,-1.594439,-1.594439
lasso#2,-1.617566,,-1.324105,,-1.617566,-1.617566
N-En,-1.847575,,-3.078931,,-1.847575,-1.847575
pls#1,-3.666301,,-1.930144,,-3.666301,-3.666301
pls#2,-7.33989,,-3.604978,,-7.33989,-7.33989
ffn#1,-11.03926,,-2.750775,,-11.03926,-11.03926
ffn#2,-11.133998,,-2.752441,,-11.133998,-11.133998
ridge#1,-13.308258,,-1.970222,,-13.308258,-13.308258
ridge#2,-13.55481,,-1.974183,,-13.55481,-13.55481
