model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,-0.185893,,-0.567697,,-0.300964
lgbm_dart#2,-0.350057,,-0.88137,,-0.50636
lgbm_gbdt#1,-0.435038,,-2.146937,-1.018689,-0.527383
pcr#2,-0.459393,,-0.507358,-1.0,-0.688837
pcr#1,-0.459394,,-0.507358,,-0.688837
rf#1,-0.532455,,-2.200106,,-0.630449
lgbm_gbdt#2,-0.538531,,-1.685648,,-0.583064
rf#2,-0.659172,,-2.119328,,-0.746397
L-En,-0.807928,,-2.028898,-1.0,-1.035248
elasticnet#1,-0.964521,,-1.321681,,-1.005481
elasticnet#2,-1.391472,,-1.294995,,-1.440873
lasso#1,-1.542266,,-1.32595,,-1.594439
lasso#2,-1.565054,,-1.324105,,-1.617566
N-En,-1.575526,,-3.078931,,-1.847575
pls#1,-3.161822,,-1.930144,,-3.666301
pls#2,-6.151908,,-3.604978,-1.0,-7.33989
ffn#1,-9.280152,,-2.750775,,-11.03926
ffn#2,-9.361296,,-2.752441,,-11.133998
ridge#1,-10.988566,,-1.970222,,-13.308258
ridge#2,-11.200193,,-1.974183,,-13.55481
