model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.133091,0.107185,1.930103,2.725894,0.154087
lgbm_gbdt#2,0.128855,0.096479,1.66845,2.455656,0.152544
lgbm_dart#2,0.124474,0.101963,1.810736,2.492896,0.152931
ffn#1,0.106817,0.105217,1.639159,2.559703,0.151678
L-En,0.106485,0.071434,3.461423,3.760255,0.095017
rf#1,0.106456,0.105689,1.369235,2.881927,0.163235
pls#2,0.104056,0.073357,1.726484,2.386706,0.148537
elasticnet#1,0.063906,0.049761,3.391624,4.208407,0.061563
lasso#2,0.063047,0.047972,2.980425,3.762764,0.062157
pcr#2,0.062032,0.054715,3.060597,4.258588,0.072777
ridge#2,-0.021834,0.07836,-0.691544,3.291889,0.091475
