model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.165996,0.127201,2.067456,2.126739,0.148078,0.165996
lgbm_gbdt#2,0.161315,0.107245,1.929512,2.070295,0.164709,0.161315
N-En,0.157947,0.111999,2.189038,2.234038,0.15122,0.157947
lgbm_dart#2,0.154247,0.09936,1.827506,2.110899,0.134082,0.154247
ffn#1,0.139709,0.105319,2.420983,2.310652,0.1467,0.139709
pls#2,0.123711,0.073087,2.286695,2.260002,0.121907,0.123711
L-En,0.077071,0.047749,2.537903,2.389797,0.084625,0.077071
ridge#2,0.067804,0.069228,2.022747,2.334774,0.089504,0.067804
lasso#2,0.06271,0.035285,2.46278,2.380246,0.06579,0.06271
elasticnet#1,0.058463,0.03441,2.518953,2.3695,0.059995,0.058463
pcr#2,0.051239,0.028033,2.48907,2.413748,0.058694,0.051239
