model,IC_mean,IC_std,N
L-En,0.10377976308200418,0.41872959733777454,89
N-En,0.10401200097594622,0.41266063007516757,89
elasticnet#2,0.0842102883002271,0.4188806413237904,89
ffn#1,0.15401350807858302,0.4283814867391729,89
lasso#2,0.08115814812421607,0.41629510687652077,89
lgbm_dart#2,0.08920772959010644,0.3840805828592424,89
lgbm_gbdt#1,0.07156912864193087,0.40946543753233683,89
pcr#1,-0.007991228197755303,0.44737364245841477,89
pls#2,0.1350304959680134,0.41552413444830816,89
rf#2,0.06663710205512105,0.40728309713170086,89
ridge#1,0.07807734062622328,0.41616993707776223,89
