model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,89,1.534018,2.350531,6.156864,0.696629
N-En,89,1.560462,2.363954,6.227432,0.719101
elasticnet#2,89,1.490539,2.30316,6.105401,0.719101
ffn#1,89,1.584622,2.475345,6.039275,0.752809
lasso#2,89,1.517906,2.326949,6.153935,0.707865
lgbm_dart#2,89,1.531561,2.306254,6.265016,0.719101
lgbm_gbdt#1,89,1.538459,2.369305,6.125759,0.707865
pcr#1,89,-1.076204,1.925892,-5.271785,0.370787
pls#2,89,1.551356,2.409874,6.073124,0.741573
rf#2,89,1.504887,2.287661,6.205936,0.696629
ridge#1,89,1.50118,2.230908,6.348133,0.707865
