model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.216261,0.14816,2.522648,2.342235,0.211398,0.216261
rf#1,0.205809,0.147857,2.45709,2.269204,0.211461,0.205809
rf#2,0.198496,0.141325,2.549877,2.371594,0.20244,0.198496
N-En,0.195524,0.13449,2.722939,2.525326,0.192152,0.195524
ffn#2,0.19204,0.14931,2.841156,2.684756,0.174674,0.19204
ffn#1,0.190714,0.146172,2.860075,2.694988,0.17349,0.190714
lgbm_gbdt#2,0.184602,0.110343,2.546575,2.29212,0.189737,0.184602
lgbm_dart#2,0.166445,0.107756,2.669243,2.492115,0.167945,0.166445
pls#2,0.162708,0.103522,2.691337,2.571606,0.155837,0.162708
pls#1,0.157587,0.092221,2.581119,2.667581,0.154374,0.157587
lgbm_dart#1,0.153879,0.093557,2.486716,2.340857,0.158874,0.153879
L-En,0.112004,0.070341,2.92511,2.732738,0.103074,0.112004
ridge#2,0.103321,0.101299,2.336457,2.571263,0.085194,0.103321
ridge#1,0.101914,0.099965,2.332652,2.570331,0.084071,0.101914
elasticnet#1,0.088676,0.050689,2.848935,2.719837,0.083384,0.088676
lasso#2,0.088085,0.048718,2.818792,2.657807,0.084827,0.088085
lasso#1,0.0878,0.048504,2.821752,2.659883,0.084569,0.0878
elasticnet#2,0.085531,0.047581,2.865714,2.724386,0.081265,0.085531
pcr#1,0.0818,0.043126,2.883985,2.786049,0.073536,0.0818
pcr#2,0.0818,0.043126,2.883985,2.786049,0.073536,0.0818
