model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ffn#2,0.378524,0.32327,1.463092,0.967159,0.459077
ffn#1,0.376794,0.323388,1.453615,0.947861,0.459416
rf#2,0.353717,0.313665,1.759746,0.903148,0.439022
pls#2,0.337147,0.292093,1.582293,0.796271,0.407859
pls#1,0.322665,0.236957,1.511196,0.896786,0.439559
N-En,0.318256,0.264321,1.664531,0.997161,0.377507
rf#1,0.312203,0.303858,1.728685,1.526398,0.404642
lgbm_dart#2,0.2843,0.248796,1.762673,1.011393,0.343334
L-En,0.272895,0.198412,1.55687,1.242273,0.302689
lgbm_gbdt#1,0.263563,0.22753,1.677363,0.852918,0.321441
elasticnet#2,0.261338,0.179175,1.673107,1.417384,0.295996
elasticnet#1,0.260132,0.177018,1.678566,1.423003,0.29469
lasso#1,0.256362,0.172799,1.705958,1.462174,0.290732
lasso#2,0.256149,0.172607,1.706709,1.46335,0.29045
lgbm_gbdt#2,0.253988,0.191975,1.707956,0.608636,0.285895
ridge#1,0.206382,0.250155,0.868347,1.328403,0.253472
ridge#2,0.205341,0.251798,0.858246,1.330311,0.253421
lgbm_dart#1,0.156888,0.101914,1.629502,0.699615,0.189283
pcr#1,0.145967,0.083392,1.554233,1.167275,0.166469
pcr#2,0.145967,0.083392,1.554233,1.167275,0.166469
