model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.146848,0.06406,3.254268,3.394937,0.150973,0.146848
pls#1,0.146769,0.062002,2.887003,3.833864,0.145714,0.146769
rf#1,0.14499,0.077518,3.113577,3.232695,0.148682,0.14499
N-En,0.1424,0.074124,3.418342,3.788011,0.146459,0.1424
ffn#1,0.119806,0.084971,2.155048,3.45142,0.126258,0.119806
L-En,0.111792,0.049729,4.095651,4.183763,0.109581,0.111792
lgbm_gbdt#2,0.108641,0.054774,4.106816,3.386169,0.113495,0.108641
ridge#2,0.099575,0.064182,3.829347,3.963759,0.100351,0.099575
lasso#1,0.097895,0.043619,4.252383,3.949498,0.097614,0.097895
elasticnet#2,0.097042,0.043285,4.272731,3.880616,0.096358,0.097042
pcr#2,0.077489,0.018692,3.734791,4.320655,0.06812,0.077489
