model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.085401,0.074881,1.542956,1.320855,0.218666
lgbm_gbdt#1,0.078381,0.070443,1.576774,1.336403,0.18662
N-En,0.077854,0.064095,1.607414,1.148154,0.194859
rf#2,0.060408,0.051763,1.400003,1.051526,0.173711
lgbm_gbdt#2,0.052067,0.045004,1.205126,0.982018,0.183417
rf#1,0.037137,0.043289,0.920769,0.937432,0.16525
lgbm_dart#1,0.035015,0.028578,0.651073,0.319662,0.201319
L-En,0.034814,0.027178,1.545822,1.108352,0.085221
ffn#2,0.031916,0.048614,0.643562,0.676314,0.1981
ffn#1,0.030696,0.042581,0.737593,0.688817,0.180715
elasticnet#1,0.0217,0.026586,1.211457,1.292606,0.064324
lasso#2,0.020552,0.023522,1.098231,1.139224,0.070315
elasticnet#2,0.020243,0.023557,1.099658,1.145078,0.068722
lasso#1,0.019656,0.023519,1.082155,1.13215,0.067474
pcr#2,-0.003219,-0.000338,-0.986,-2.221497,-0.004601
pcr#1,-0.003219,-0.000338,-0.986,-2.221497,-0.004601
pls#2,-0.027764,-0.030118,-0.646963,-0.585074,0.170575
ridge#1,-0.02853,0.036208,-0.718005,1.475216,0.072718
ridge#2,-0.029205,0.036291,-0.730557,1.475676,0.072863
pls#1,-0.040309,-0.028626,-0.745841,-0.509033,0.178474
