model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.218666,0.179262,2.024906,2.204464,0.21462,0.218666
lgbm_dart#1,0.201319,0.148978,1.990358,2.119881,0.195132,0.201319
ffn#2,0.1981,0.161518,1.733571,1.921851,0.200403,0.1981
N-En,0.194859,0.154593,2.039094,2.227844,0.192404,0.194859
lgbm_gbdt#1,0.18662,0.148501,2.026247,2.155502,0.179828,0.18662
lgbm_gbdt#2,0.183417,0.155636,2.092344,2.240014,0.181871,0.183417
ffn#1,0.180715,0.1432,1.810821,2.03648,0.183254,0.180715
pls#1,0.178474,0.133735,1.823338,2.042946,0.179081,0.178474
rf#2,0.173711,0.138052,2.065095,2.229387,0.170261,0.173711
pls#2,0.170575,0.119244,1.832573,2.041296,0.17042,0.170575
rf#1,0.16525,0.122841,1.96082,2.168963,0.162948,0.16525
L-En,0.085221,0.061904,2.184911,2.49338,0.085304,0.085221
ridge#2,0.072863,0.059897,1.852859,2.510045,0.074107,0.072863
ridge#1,0.072718,0.059766,1.853925,2.510495,0.073981,0.072718
lasso#2,0.070315,0.047611,2.171097,2.481639,0.069753,0.070315
elasticnet#2,0.068722,0.047482,2.183163,2.485721,0.068251,0.068722
lasso#1,0.067474,0.047984,2.194721,2.486922,0.06714,0.067474
elasticnet#1,0.064324,0.048423,2.199956,2.500148,0.064183,0.064324
pcr#2,-0.004601,-0.000351,-2.037285,-2.18613,-0.004482,-0.004601
pcr#1,-0.004601,-0.000351,-2.037285,-2.18613,-0.004482,-0.004601
