date,n_rows,avg_miss
2020-01-13,4,0.26973684210526316
2020-01-14,8,0.14391447368421054
2020-01-15,11,0.104066985645933
2020-01-16,14,0.09163533834586465
2020-01-17,16,0.09786184210526316
2020-01-21,16,0.05674342105263158
2020-01-22,16,0.047286184210526314
2020-01-23,15,0.054824561403508776
2020-01-24,12,0.07236842105263158
2020-01-27,9,0.04678362573099415
2020-01-28,8,0.039473684210526314
2020-01-29,7,0.039473684210526314
2020-01-30,2,0.09868421052631579
2020-01-31,24,0.1513157894736842
2020-02-03,34,0.028444272445820432
2020-02-04,36,0.02101608187134503
2020-02-05,33,0.0173444976076555
2020-02-06,36,0.0133406432748538
2020-02-07,33,0.04146730462519936
2020-02-10,40,0.016447368421052634
2020-02-11,43,0.016523867809057527
2020-02-12,44,0.006578947368421052
2020-02-13,44,0.014055023923444975
2020-02-14,37,0.03698435277382645
2020-02-18,26,0.006578947368421052
2020-02-19,2,0.03289473684210526
2020-02-20,29,0.01633393829401089
2020-02-21,2,0.05921052631578947
2020-02-24,16,0.021792763157894735
2020-02-25,2,0.03289473684210526
2020-02-26,12,0.030701754385964914
2020-02-27,6,0.006578947368421052
2020-03-02,23,0.04176201372997712
2020-03-06,24,0.03700657894736842
2020-03-09,26,0.0215080971659919
2020-03-10,25,0.006578947368421052
2020-03-11,20,0.006578947368421052
2020-03-12,7,0.03853383458646617
2020-03-13,7,0.05921052631578947
2020-03-16,10,0.0368421052631579
2020-03-17,11,0.05263157894736842
2020-03-18,9,0.046052631578947366
2020-03-19,14,0.03289473684210526
2020-03-20,7,0.07236842105263158
2020-03-23,7,0.046052631578947366
2020-03-24,13,0.018218623481781375
2020-03-25,13,0.006578947368421052
2020-03-26,5,0.006578947368421052
2020-03-30,13,0.039473684210526314
2020-04-01,17,0.015092879256965943
2020-04-02,14,0.007048872180451127
2020-04-03,1,0.05921052631578947
2020-04-06,17,0.016640866873065013
2020-04-13,24,0.015625
2020-04-16,20,0.014144736842105262
2020-04-17,16,0.03330592105263158
2020-04-22,6,0.0076754385964912285
2020-04-23,2,0.006578947368421052
2020-05-01,25,0.13815789473684212
2020-05-04,28,0.010338345864661655
2020-05-05,27,0.006578947368421052
2020-05-07,41,0.029364569961489086
2020-05-08,33,0.03548644338118022
2020-05-11,1,0.03289473684210526
2020-05-12,1,0.03289473684210526
2020-05-13,1,0.03289473684210526
2020-05-18,18,0.01754385964912281
2020-05-19,38,0.015062326869806093
2020-05-20,33,0.008771929824561403
2020-05-22,23,0.04262013729977116
2020-05-26,10,0.006578947368421052
2020-05-27,6,0.018640350877192985
2020-05-28,1,0.006578947368421052
2020-05-29,25,0.13815789473684212
2020-06-01,1,0.03289473684210526
2020-06-02,33,0.03688197767145135
2020-06-03,38,0.007617728531855955
2020-06-04,38,0.008310249307479225
2020-06-08,38,0.007790858725761772
2020-06-09,36,0.006578947368421052
2020-06-11,38,0.008310249307479225
2020-06-12,37,0.036450924608819345
2020-06-15,23,0.0074370709382151024
2020-06-16,1,0.03289473684210526
2020-06-17,35,0.013157894736842105
2020-06-18,34,0.007159442724458202
2020-06-19,30,0.05482456140350876
2020-06-22,27,0.00682261208576998
2020-06-23,22,0.006578947368421052
2020-06-24,11,0.007177033492822966
2020-06-25,3,0.006578947368421052
2020-07-06,32,0.1118421052631579
2020-07-07,28,0.009633458646616543
2020-07-08,36,0.008771929824561405
2020-07-09,35,0.007142857142857141
2020-07-10,35,0.03289473684210526
2020-07-13,35,0.008458646616541353
2020-07-14,34,0.006772445820433436
2020-07-15,35,0.03007518796992481
2020-07-16,34,0.006578947368421052
2020-07-17,31,0.03289473684210526
2020-07-20,18,0.006578947368421052
2020-07-21,31,0.006578947368421052
2020-07-22,32,0.008634868421052632
2020-07-24,21,0.03696741854636591
2020-07-27,11,0.011961722488038277
2020-07-28,11,0.012559808612440191
2020-07-30,3,0.02850877192982456
2020-08-03,30,0.044956140350877194
2020-08-05,29,0.00930127041742287
2020-08-06,20,0.013157894736842105
2020-08-10,41,0.012034659820282415
2020-08-13,37,0.00995732574679943
2020-08-14,1,0.05921052631578947
2020-08-17,21,0.013157894736842105
2020-08-18,25,0.00736842105263158
2020-08-20,23,0.013157894736842105
2020-08-25,26,0.031123481781376524
2020-09-01,29,0.04764065335753176
2020-09-03,41,0.017490372272143773
2020-09-04,37,0.03876244665718351
2020-09-08,3,0.03289473684210526
2020-09-09,34,0.018188854489164085
2020-09-10,25,0.009210526315789475
2020-09-11,2,0.05921052631578947
2020-09-14,53,0.02097815292949354
2020-09-15,58,0.011116152450090743
2020-09-16,41,0.008183568677792042
2020-09-17,1,0.03289473684210526
2020-09-18,48,0.04084429824561404
2020-09-21,18,0.006578947368421052
2020-09-22,1,0.03289473684210526
2020-09-23,16,0.018092105263157895
2020-10-02,56,0.14473684210526316
2020-10-05,43,0.006731946144430845
2020-10-06,17,0.007739938080495356
2020-10-07,1,0.03289473684210526
2020-10-08,55,0.014952153110047845
2020-10-09,52,0.03302125506072875
2020-10-12,27,0.032651072124756333
2020-10-13,4,0.006578947368421052
2020-10-14,56,0.006578947368421052
2020-10-15,30,0.006578947368421052
2020-10-16,3,0.03289473684210526
2020-10-19,3,0.03289473684210526
2020-10-20,3,0.03289473684210526
2020-10-21,3,0.03289473684210526
2020-10-22,9,0.03508771929824561
2020-10-23,3,0.05921052631578947
2020-10-26,3,0.03289473684210526
2020-10-27,3,0.03289473684210526
2020-10-28,3,0.03289473684210526
2020-10-29,1,0.03289473684210526
2020-11-02,16,0.046875
2020-11-03,1,0.03289473684210526
2020-11-04,1,0.03289473684210526
2020-11-05,2,0.013157894736842105
2020-11-06,1,0.05921052631578947
2020-11-09,1,0.03289473684210526
2020-11-10,1,0.05921052631578947
2020-11-11,1,0.05263157894736842
2020-11-12,1,0.03289473684210526
2020-11-13,2,0.05921052631578947
2020-11-16,1,0.03289473684210526
2020-11-17,1,0.03289473684210526
2020-11-18,2,0.023026315789473683
2020-11-19,8,0.023848684210526317
2020-11-20,6,0.047149122807017545
2020-11-23,1,0.03289473684210526
2020-11-24,5,0.013157894736842105
2020-11-25,1,0.05921052631578947
2020-11-27,30,0.14473684210526316
2020-11-30,28,0.012687969924812031
2020-12-01,38,0.013504155124653737
2020-12-02,27,0.006578947368421052
2020-12-03,3,0.03289473684210526
2020-12-04,3,0.05921052631578947
2020-12-07,22,0.017942583732057416
2020-12-08,3,0.03289473684210526
2020-12-09,33,0.03349282296650718
2020-12-10,23,0.010297482837528604
2020-12-11,3,0.05921052631578947
2020-12-14,19,0.025277008310249306
2020-12-15,2,0.03289473684210526
2020-12-16,12,0.01864035087719298
2020-12-17,22,0.042464114832535885
2020-12-18,21,0.04542606516290727
2020-12-21,19,0.01904432132963989
2020-12-22,17,0.0313467492260062
2020-12-23,9,0.006578947368421052
2020-12-24,3,0.05921052631578947
2021-01-04,4,0.13815789473684212
2021-01-05,16,0.033717105263157895
2021-01-06,3,0.03289473684210526
2021-01-07,22,0.027212918660287085
2021-01-08,3,0.05921052631578947
2021-01-11,22,0.02332535885167464
2021-01-12,3,0.03289473684210526
2021-01-13,18,0.013157894736842105
2021-01-14,3,0.03289473684210526
2021-01-15,54,0.04142300194931775
2021-01-20,38,0.016620498614958446
2021-01-21,40,0.008223684210526314
2021-01-22,4,0.05263157894736842
2021-01-25,21,0.008458646616541355
2021-01-26,10,0.00855263157894737
2021-01-27,4,0.006578947368421052
2021-01-28,12,0.008771929824561401
2021-01-29,3,0.16447368421052633
2021-02-01,54,0.03776803118908382
2021-02-02,54,0.010112085769980505
2021-02-03,54,0.007309941520467835
2021-02-04,59,0.012154326494201605
2021-02-05,47,0.03569428891377379
2021-02-08,25,0.027105263157894736
2021-02-09,3,0.05263157894736842
2021-02-10,54,0.04105750487329435
2021-02-11,51,0.027992776057791536
2021-02-12,48,0.03604714912280702
2021-02-17,31,0.016129032258064512
2021-02-18,23,0.009725400457665904
2021-02-19,5,0.07894736842105263
2021-02-22,25,0.02605263157894737
2021-02-23,44,0.03603468899521531
2021-02-24,25,0.009210526315789475
2021-02-25,2,0.006578947368421052
2021-03-01,47,0.04437290033594625
2021-03-02,48,0.012472587719298244
2021-03-03,50,0.010526315789473684
2021-03-04,51,0.007868937048503612
2021-03-05,53,0.03785998013902681
2021-03-08,50,0.027631578947368424
2021-03-09,49,0.009667024704618691
2021-03-10,42,0.0070488721804511266
2021-03-11,34,0.008513931888544891
