date,mid_t,F_t,y_price,abs_y
2022-03-22,75.0,42390.0,24.764789241361687,24.764789241361687
2020-10-15,29.0,11595.0,24.592502496716072,24.592502496716072
2023-07-21,50.0,29885.0,24.53996446847731,24.53996446847731
2023-03-22,37.5,26800.0,24.35166907714866,24.35166907714866
2022-01-14,140.0,43120.0,24.321267953049986,24.321267953049986
2020-07-24,19.0,9615.0,24.3107245923118,24.3107245923118
2021-04-28,750.0,55410.0,24.202161067753142,24.202161067753142
2021-01-26,910.0,31950.0,24.14966479800556,24.14966479800556
2021-03-10,540.0,56620.0,24.105618551671704,24.105618551671704
2020-06-24,28.0,9285.0,23.981626270271782,23.981626270271782
2023-03-29,60.0,28440.0,23.813960980215438,23.813960980215438
2022-06-14,85.0,22125.0,23.54881067056087,23.54881067056087
2020-02-27,5.0,8890.0,23.503615418962895,23.503615418962895
2021-11-24,510.0,57415.0,23.495621345528754,23.495621345528754
2020-06-15,82.5,9440.0,23.441748250934904,23.441748250934904
2023-04-20,26.0,28095.0,23.24184247764142,23.24184247764142
2021-06-10,395.0,36690.0,23.234206918973427,23.234206918973427
2020-05-22,45.0,9175.0,23.22849764474648,23.22849764474648
2022-03-14,70.0,38830.0,23.20886707566319,23.20886707566319
2021-07-20,512.5,29715.0,22.765669171437125,22.765669171437125
2022-03-04,70.0,39545.0,22.571209513399353,22.571209513399353
2020-03-10,40.0,7995.0,22.504339507319813,22.504339507319813
2021-04-28,715.0,55410.0,22.312717282138593,22.312717282138593
2023-03-22,17.5,26800.0,22.291052287371564,22.291052287371564
2020-07-17,15.0,9195.0,22.174038436760025,22.174038436760025
2021-07-23,130.0,32270.0,21.984481700850658,21.984481700850658
2021-11-24,500.0,57415.0,21.946179123937224,21.946179123937224
2023-06-15,40.0,25470.0,21.922388596752533,21.922388596752533
2020-05-08,16.0,10030.0,21.909990564342404,21.909990564342404
2022-01-11,87.5,42805.0,21.55095072967209,21.55095072967209
2020-02-27,10.0,8890.0,21.407388446718905,21.407388446718905
2023-07-12,35.0,30395.0,21.364737775209615,21.364737775209615
2020-05-29,31.0,9470.0,21.330918671151345,21.330918671151345
2021-07-26,675.0,39480.0,21.287471490983805,21.287471490983805
2020-05-29,137.5,9470.0,21.208895104105576,21.208895104105576
2023-07-14,47.5,30235.0,21.141543239334084,21.141543239334084
2020-06-15,137.5,9440.0,21.062999006749987,21.062999006749987
2020-05-22,32.5,9175.0,21.04532076422007,21.04532076422007
2022-04-05,97.5,46140.0,20.756163109566398,20.756163109566398
2022-03-16,100.0,40920.0,20.712431877563805,20.712431877563805
2023-08-15,37.0,29225.0,20.57117198478885,20.57117198478885
2021-07-16,100.0,31925.0,20.54927993052958,20.54927993052958
2022-03-15,110.0,39760.0,20.452713458677337,20.452713458677337
2023-06-26,26.5,30315.0,20.368283526087957,20.368283526087957
2020-09-18,23.5,10880.0,20.273896051639415,20.273896051639415
2023-04-06,23.0,28140.0,20.262244997172434,20.262244997172434
2021-01-21,247.5,31920.0,20.247378986502454,20.247378986502454
2022-02-10,140.0,44180.0,20.153364242568497,20.153364242568497
2022-02-10,112.5,44180.0,20.124309487934088,20.124309487934088
2021-01-26,637.5,31950.0,20.119330288561407,20.119330288561407
2021-01-21,445.0,31920.0,20.101840432361332,20.101840432361332
2022-07-07,65.0,21855.0,19.965541263213943,19.965541263213943
2020-03-06,70.0,9165.0,19.70315752739233,19.70315752739233
2021-07-14,100.0,32740.0,19.671970060157495,19.671970060157495
2023-05-25,13.5,26470.0,19.62968595110918,19.62968595110918
2022-10-12,65.0,19095.0,19.616091752261546,19.616091752261546
2023-06-09,30.0,26475.0,19.607598833710185,19.607598833710185
2020-05-29,155.0,9470.0,19.5698984404513,19.5698984404513
2022-03-18,102.5,42095.0,19.5573458703238,19.5573458703238
2020-09-16,22.5,11015.0,19.543931099221005,19.543931099221005
2022-06-08,67.5,30080.0,19.373093721587562,19.373093721587562
2023-06-26,37.5,30315.0,19.2001328369918,19.2001328369918
2021-07-20,175.0,29715.0,19.19016758419432,19.19016758419432
2020-07-24,23.0,9615.0,19.179902053166778,19.179902053166778
2023-03-10,182.5,19965.0,18.973058642712623,18.973058642712623
2023-03-07,37.0,22070.0,18.966689686928415,18.966689686928415
2023-07-12,77.5,30395.0,18.885244133158647,18.885244133158647
2021-02-12,242.5,48040.0,18.826430584840143,18.826430584840143
2022-10-18,72.5,19180.0,18.80712877448353,18.80712877448353
2023-01-25,30.0,22940.0,18.77297771260665,18.77297771260665
2023-07-12,25.5,30395.0,18.762034564621825,18.762034564621825
2020-03-30,30.0,6380.0,18.704946961036114,18.704946961036114
2021-07-20,122.5,29715.0,18.67815115432728,18.67815115432728
2022-02-24,210.0,38360.0,18.677184313418056,18.677184313418056
2023-07-07,47.5,30370.0,18.66380652786953,18.66380652786953
2021-12-14,100.0,47870.0,18.40737595323679,18.40737595323679
2022-08-15,95.0,24000.0,18.22292437937942,18.22292437937942
2023-05-04,16.5,29015.0,18.13212319139205,18.13212319139205
2023-03-29,35.0,28440.0,18.103509930984607,18.103509930984607
2020-04-17,22.5,7080.0,18.0020110439634,18.0020110439634
2023-03-22,35.0,26800.0,17.932664994736726,17.932664994736726
2023-04-26,705.0,27900.0,17.774562527595346,17.774562527595346
2023-08-16,37.5,29130.0,17.721690421315966,17.721690421315966
2020-09-18,19.0,10880.0,17.718264007490433,17.718264007490433
2020-05-29,125.0,9470.0,17.65281612836523,17.65281612836523
2020-10-12,23.0,11630.0,17.649674781746686,17.649674781746686
