model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.198184512601387}",-0.672170983646885,"[-1.143465241106676, -0.20087672618709407]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.046896396312667}",-0.4995456808304226,"[-0.800601017407949, -0.19849034425289624]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 12.384930898256401}",-0.15300276777990462,"[-0.13948002499379197, -0.16652551056601728]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1515920461138471}",-1.809317988513651,"[-3.4149941933122987, -0.20364178371500352]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.006913513545575}",-0.1786385788097441,"[-0.18341074660392365, -0.17386641101556455]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.278118224157009}",-0.17526802398461339,"[-0.17751462440038734, -0.17302142356883943]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.42770830499620704}",-1.1168118067635495,"[-2.0306890079734665, -0.20293460555363252]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24365700014641997}",-1.4556292830066004,"[-2.707850632643633, -0.20340793336956775]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8836597074694355}",-0.7859687487322754,"[-1.3702067082501999, -0.20173078921435095]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2334805700860019}",-0.6619398285162406,"[-1.123099884505463, -0.20077977252701817]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.135589606500229}",-0.2813011548118708,"[-0.37343824845312357, -0.18916406117061801]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0692098656538342}",-0.49639729174478275,"[-0.7943683973647009, -0.19842618612486462]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 92.28295957427436}",0.020212847100836373,"[0.06154055306643702, -0.021114858864764274]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.202364548436489}",-1.58675143856588,"[-2.9699898131081675, -0.2035130640235927]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.423282455862012}",-1.1223296513110328,"[-2.0417132261731457, -0.20294607644891993]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3047393617736388}",-1.3106583889111363,"[-2.4180650820030576, -0.20325169581921498]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.105944026265275}",-0.19092275395653824,"[-0.2051607087471592, -0.17668479916591728]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5752740814116687}",-0.9697028513736206,"[-1.7368559871800557, -0.20254971556718537]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5057187257477667}",-0.44308527023004995,"[-0.6890120679302552, -0.19715847252984475]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5410990556767874}",-0.9985814671645477,"[-1.7945236662959458, -0.20263926803314947]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2998532434945439}",-1.320662638121756,"[-2.4380610512175487, -0.20326422502596353]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.21435095535798537}",-1.545077721593565,"[-2.886672855692964, -0.20348258749416614]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.310837957239837}",-0.18796888645675747,"[-0.19989528578629723, -0.1760424871272177]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2597459914786605}",-1.412744238522174,"[-2.6221216132746004, -0.20336686376974744]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3888186473153666}",-1.1683583249248173,"[-2.1336813980390543, -0.20303525181058002]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2769547619045511}",-0.6498676375691603,"[-1.0990752162923236, -0.20066005884599702]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 29.038868465087933}",-0.0700981814459174,"[-0.019003759208602755, -0.12119260368323204]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.19557071673386747}",-1.6119165966387012,"[-3.0203028702345893, -0.20353032304281315]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 32.64635677523521}",-0.060153185379490215,"[-0.00750148097898129, -0.11280488977999914]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.19422056969726925}",-1.6170607642295347,"[-3.030587776796655, -0.20353375166241428]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 84.99206771743685}",0.01441724164932301,"[0.057838325598343676, -0.029003842299697657]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5465581928924363}",-0.43877977191934725,"[-0.6805208371213418, -0.19703870671735269]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 85.16933662231996}",0.014565530410685756,"[0.057935251438890445, -0.028804190617518932]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.524339610666338}",-0.23989454970687263,"[-0.29497771265505035, -0.1848113867586949]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 16.511660035531794}",-0.12222617112645229,"[-0.09020588039496213, -0.15424646185794244]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1310881325831351}",-1.928797047771396,"[-3.6539005026578346, -0.2036935928849577]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7053763390632227}",-0.8786157579081249,"[-1.5550249502091242, -0.20220656560712547]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2293980298131186}",-1.4971407414287374,"[-2.7908372013234426, -0.20344428153403205]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7734292502064646}",-0.8398012483209089,"[-1.477576798450603, -0.20202569819121474]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.22708223335487526}",-1.5042270489779541,"[-2.805003917574877, -0.20345018038103113]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8993930726120073}",-0.7790329081739494,"[-1.35637731229684, -0.20168850405105876]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.7489966737814584}",-0.5467607899984575,"[-0.8941812229006554, -0.19934035709625952]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.15575517641504763}",-1.787555612017727,"[-3.37147997189179, -0.20363125214366362]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 11.951333297092354}",-0.15710065908436288,"[-0.14634983581511252, -0.16785148235361325]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.009615137983936}",-0.2859315122854298,"[-0.3823067735157344, -0.1895562510551252]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6254152586876391}",-0.9314614698735904,"[-1.6605050588003918, -0.20241788094678892]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.713164249534621}",-0.3470809469796158,"[-0.500613373109811, -0.19354852084942054]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1913469447807097}",-1.6281739456520685,"[-3.0528068436619282, -0.20354104764220882]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.343668232660404}",-0.27403060377276667,"[-0.35954617121942856, -0.18851503632610478]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 61.36045802294311}",-0.00964063186551195,"[0.04051120769406913, -0.05979247142509303]",3,1,60,True,
