model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.154782,0.104609,1.674614,1.725077,0.178174
ffn#1,0.147372,0.084338,1.782853,2.096498,0.163256
rf#2,0.143126,0.105983,1.790961,1.999594,0.169984
rf#1,0.142185,0.111679,1.814988,2.010411,0.171012
ffn#2,0.141416,0.07814,1.788197,2.105464,0.156296
N-En,0.134788,0.082729,1.935972,2.025908,0.152389
lgbm_gbdt#1,0.133994,0.07446,1.569464,1.703441,0.155408
pls#2,0.126369,0.050473,2.027099,2.027044,0.13901
pls#1,0.125929,0.043125,1.942435,2.093665,0.138082
lgbm_dart#2,0.120468,0.065879,1.603849,1.689176,0.143112
ridge#2,0.08274,0.048245,1.19197,2.201353,0.085704
ridge#1,0.081636,0.047241,1.180879,2.200372,0.084361
L-En,0.07897,0.030246,2.040041,2.220197,0.08114
lasso#2,0.058936,0.017914,1.934015,2.157981,0.058949
lasso#1,0.05832,0.017765,1.940638,2.160899,0.058388
elasticnet#1,0.057228,0.017929,1.958321,2.171181,0.057491
elasticnet#2,0.056991,0.017678,1.961996,2.171,0.057257
pcr#1,0.053543,0.018112,2.01897,2.231364,0.05605
pcr#2,0.053543,0.018112,2.01897,2.231364,0.05605
lgbm_dart#1,0.048977,0.015335,1.485974,1.365226,0.047978
