model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
L-En,0.025017,0.029087,0.787777,1.506362,0.092483
ridge#2,0.024296,0.031108,1.363542,1.471967,0.084449
ridge#1,0.024235,0.031057,1.35961,1.472372,0.084317
elasticnet#2,0.020425,0.027812,1.138432,1.586066,0.072224
elasticnet#1,0.018902,0.027155,1.060266,1.558542,0.072516
lasso#1,0.01624,0.025959,0.937561,1.499018,0.073186
ffn#2,0.015635,0.0555,0.359616,0.961509,0.183713
lasso#2,0.015211,0.025442,0.89042,1.488027,0.073079
pcr#2,0.0062,0.011495,0.476422,0.984568,0.046807
pcr#1,0.0062,0.011495,0.476422,0.984568,0.046807
N-En,0.004084,0.041789,-0.150849,1.104084,0.164782
rf#2,0.003906,0.041571,0.419529,1.028589,0.167393
lgbm_dart#2,0.001772,0.021963,-0.472976,0.902623,0.085813
rf#1,-0.015711,0.040693,-0.313086,1.005239,0.182742
ffn#1,-0.020652,0.054355,-0.09477,0.998255,0.182113
pls#2,-0.038529,0.025726,-1.076421,0.775673,0.161801
lgbm_dart#1,-0.040994,0.008668,-1.033432,0.218959,0.181834
pls#1,-0.051128,0.005063,-1.324601,0.222225,0.15891
lgbm_gbdt#2,-0.061319,-0.009361,-1.20062,-0.27497,0.129988
lgbm_gbdt#1,-0.079192,-0.029139,-1.478065,-0.647529,0.150393
