model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,13,3.321819,4.083943,2.932703,0.846154
N-En,13,3.210772,3.995982,2.897061,0.769231
elasticnet#1,13,3.28968,4.313453,2.749795,0.769231
elasticnet#2,13,3.356014,4.324713,2.797938,0.769231
ffn#1,13,3.285259,3.764969,3.146153,0.923077
ffn#2,13,3.281105,3.76884,3.138948,0.846154
lasso#1,13,3.355359,4.325043,2.797179,0.769231
lasso#2,13,3.348979,4.329995,2.788667,0.769231
lgbm_dart#1,13,3.095403,3.934046,2.836936,0.769231
lgbm_dart#2,13,3.326885,4.187128,2.864793,0.769231
lgbm_gbdt#1,13,3.23512,4.120115,2.831083,0.692308
lgbm_gbdt#2,13,3.146512,4.003103,2.834029,0.692308
pcr#1,13,-2.557107,3.31022,-2.785247,0.230769
pcr#2,13,-2.557107,3.31022,-2.785247,0.230769
pls#1,13,3.338987,3.847018,3.129408,0.769231
pls#2,13,3.402095,4.122,2.975843,0.769231
rf#1,13,3.100487,3.925759,2.847593,0.692308
rf#2,13,3.169812,3.963921,2.883235,0.769231
ridge#1,13,2.897525,3.727545,2.802696,0.846154
ridge#2,13,2.819065,3.726,2.727935,0.846154
