model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.467577,0.150122,1.304326,0.675905,0.395108
lgbm_dart#2,0.418897,0.201713,1.40547,0.828185,0.332266
lgbm_gbdt#2,0.337617,0.027304,1.323757,0.599141,0.235506
lgbm_gbdt#1,0.25881,0.074901,1.2788,0.419615,0.170792
N-En,0.233499,-0.063842,1.129288,0.481438,0.1574
lasso#1,0.192653,0.043675,1.113179,0.747977,0.172621
lasso#2,0.192611,0.043657,1.113282,0.747971,0.172538
elasticnet#2,0.187677,0.042272,1.116901,0.74461,0.166688
elasticnet#1,0.187409,0.042126,1.114711,0.741823,0.167674
L-En,0.178507,0.004727,1.152681,0.609822,0.141161
rf#1,0.149557,-0.088469,1.029426,0.554385,0.11385
rf#2,0.128564,-0.016429,1.029013,0.625467,0.137849
ridge#1,0.01197,-0.015987,0.744192,0.383156,0.049998
ridge#2,0.007157,-0.016118,0.730685,0.377945,0.048202
pls#2,-0.01517,-0.564296,0.91523,0.013307,0.077543
pcr#2,-0.080647,0.014073,0.091113,0.778675,0.040184
pcr#1,-0.080647,0.014073,0.091113,0.778675,0.040184
pls#1,-0.325644,-0.238512,0.339798,0.240268,-0.024194
ffn#2,-0.333619,-0.656988,0.485349,-0.071574,-0.292234
ffn#1,-0.491274,-0.850082,0.444596,-0.148004,-0.393089
