model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.090503,0.073841,1.854825,1.605954,0.194067
lgbm_dart#2,0.072656,0.062096,1.849963,1.543784,0.157277
lgbm_dart#1,0.068254,0.058895,1.781709,1.625756,0.142411
N-En,0.06671,0.060365,1.572132,1.374858,0.170542
lgbm_gbdt#1,0.053258,0.049513,0.93556,0.800386,0.194972
rf#1,0.049029,0.055927,0.996019,1.081989,0.206104
L-En,0.040306,0.030093,1.634633,1.228117,0.093892
elasticnet#2,0.025813,0.027719,1.29403,1.337096,0.072427
elasticnet#1,0.024863,0.027483,1.26236,1.344837,0.071797
lasso#2,0.024538,0.027346,1.241687,1.321771,0.072378
ridge#1,0.023744,0.035174,0.520485,1.401334,0.092449
lasso#1,0.02368,0.026954,1.212447,1.316545,0.07214
ridge#2,0.02356,0.035264,0.504978,1.401858,0.092663
ffn#1,0.023327,0.040215,0.655135,0.960132,0.135534
rf#2,0.023244,0.043555,0.61419,1.003335,0.166029
ffn#2,0.022575,0.039952,0.640256,0.949389,0.136589
pls#2,0.019835,0.018756,0.517749,0.477604,0.171369
pls#1,0.006024,-0.002299,0.260372,0.033931,0.162703
pcr#1,0.003411,0.009069,0.064914,0.721481,0.033885
pcr#2,0.003411,0.009069,0.064914,0.721481,0.033885
