model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.206104,0.156008,1.992402,2.204534,0.202588,0.206104
lgbm_gbdt#1,0.194972,0.161965,1.988546,2.157183,0.191697,0.194972
lgbm_gbdt#2,0.194067,0.163016,2.098204,2.288507,0.19277,0.194067
pls#2,0.171369,0.109603,1.855769,2.011543,0.171907,0.171369
N-En,0.170542,0.133129,2.067847,2.2968,0.16884,0.170542
rf#2,0.166029,0.120139,1.997757,2.285796,0.163201,0.166029
pls#1,0.162703,0.109453,1.83596,2.000653,0.163612,0.162703
lgbm_dart#2,0.157277,0.12766,2.23071,2.427255,0.154403,0.157277
lgbm_dart#1,0.142411,0.116296,2.160492,2.336749,0.140035,0.142411
ffn#2,0.136589,0.099861,1.809051,2.126222,0.137901,0.136589
ffn#1,0.135534,0.099219,1.808912,2.12923,0.136755,0.135534
L-En,0.093892,0.060449,2.125112,2.373142,0.093452,0.093892
ridge#2,0.092663,0.058361,2.048601,2.383771,0.091731,0.092663
ridge#1,0.092449,0.058223,2.049004,2.384198,0.091534,0.092449
elasticnet#2,0.072427,0.048149,2.06182,2.421538,0.07124,0.072427
lasso#2,0.072378,0.048045,2.060902,2.422922,0.071155,0.072378
lasso#1,0.07214,0.047619,2.068637,2.427453,0.070949,0.07214
elasticnet#1,0.071797,0.047601,2.065634,2.427814,0.070578,0.071797
pcr#1,0.033885,0.022897,2.157158,2.434976,0.03337,0.033885
pcr#2,0.033885,0.022897,2.157158,2.434976,0.03337,0.033885
