model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ridge#2,0.173087,0.242157,0.390203,0.884807,-0.345407
ridge#1,0.168543,0.241318,0.369562,0.883036,-0.34378
rf#1,0.148826,0.139092,0.61138,0.615549,-0.242197
L-En,0.139394,0.173105,0.469332,0.923834,-0.238289
elasticnet#1,0.128796,0.193873,0.347657,1.020422,-0.188239
elasticnet#2,0.128192,0.194806,0.33685,1.01063,-0.19743
lasso#2,0.127956,0.192079,0.352045,1.029295,-0.181324
lasso#1,0.127924,0.192041,0.352165,1.029787,-0.180984
lgbm_gbdt#2,0.098677,0.10584,0.55229,0.963404,-0.090704
pcr#2,0.073066,0.045764,0.761594,0.707162,-0.061535
pcr#1,0.073066,0.045763,0.761608,0.707179,-0.06153
pls#1,0.052701,0.108076,-0.062018,0.329246,-0.664989
ffn#1,0.035588,0.078259,-0.206588,-0.061835,-0.833708
N-En,0.00063,0.100148,-0.303455,0.247238,-0.580347
pls#2,-0.022616,0.118457,-0.374487,0.472031,-0.661335
rf#2,-0.054312,0.123034,-0.569142,0.340031,-0.661357
lgbm_dart#1,-0.140425,0.093835,-0.880843,0.574873,-0.348309
lgbm_dart#2,-0.164477,0.058361,-0.930903,0.010851,-0.690982
ffn#2,-0.448374,-0.227564,-0.965255,-0.753684,-2.477204
lgbm_gbdt#1,-0.471286,-0.079488,-1.229507,-0.605395,-0.408657
