model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.105846,0.097558,1.214264,1.496722,0.083303
L-En,0.061772,0.097735,0.520391,1.05987,0.078625
pcr#1,0.03785,0.058651,0.90239,1.416394,0.062546
pcr#2,0.03785,0.058652,0.902329,1.416342,0.062547
rf#1,-0.022057,0.039447,-0.418843,0.097312,0.033024
lgbm_dart#1,-0.024637,0.044896,-0.876947,0.314018,0.027717
N-En,-0.034972,0.02285,-0.781755,-0.137939,0.006711
rf#2,-0.037485,0.023654,-0.812933,-0.127429,-0.010469
lasso#2,-0.043355,0.123301,-0.274449,1.625599,0.074884
lasso#1,-0.043372,0.123326,-0.27447,1.626977,0.074908
elasticnet#1,-0.045505,0.122614,-0.291764,1.597436,0.074114
elasticnet#2,-0.047458,0.12238,-0.311087,1.5734,0.073438
lgbm_gbdt#1,-0.054761,0.015148,-1.042979,-0.254308,0.051736
ridge#2,-0.129662,0.124828,-0.707717,1.307084,0.061091
ridge#1,-0.133901,0.123639,-0.740721,1.298254,0.060552
lgbm_dart#2,-0.13937,-0.093415,-1.34938,-0.881425,-0.082433
ffn#1,-0.200418,-0.101916,-1.572714,-1.040759,-0.027585
pls#1,-0.564597,-0.209559,-2.114645,-1.354383,-0.004772
pls#2,-0.5899,-0.221885,-2.412076,-1.324462,-0.043736
ffn#2,-0.716279,-0.323287,-2.934688,-1.956146,-0.333036
