model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,11,1.082152,1.647751,2.178176,0.909091
N-En,11,1.084782,1.645822,2.186029,0.818182
elasticnet#1,11,1.083125,1.662049,2.161381,0.909091
elasticnet#2,11,1.083125,1.662049,2.161381,0.909091
ffn#1,11,1.074268,1.652023,2.156715,0.818182
ffn#2,11,1.085243,1.646776,2.185692,0.818182
lasso#1,11,1.082575,1.662397,2.15983,0.909091
lasso#2,11,1.082575,1.662397,2.15983,0.909091
lgbm_dart#1,11,1.029792,1.680766,2.032069,0.818182
lgbm_dart#2,11,0.992548,1.648043,1.997464,0.909091
lgbm_gbdt#1,11,1.073286,1.650662,2.156521,0.818182
lgbm_gbdt#2,11,1.04711,1.670054,2.079496,0.818182
pcr#1,11,1.084546,1.645953,2.185381,0.818182
pcr#2,11,1.084546,1.645953,2.185381,0.818182
pls#1,11,1.08868,1.642987,2.19767,0.909091
pls#2,11,1.08868,1.642987,2.19767,0.909091
rf#1,11,1.068689,1.670703,2.121526,0.909091
rf#2,11,1.064021,1.67352,2.108705,0.818182
ridge#1,11,1.087201,1.64502,2.191973,0.909091
ridge#2,11,1.087201,1.64502,2.191973,0.909091
