model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.32563,0.102236,0.735201,0.41607,0.330283
lgbm_dart#2,0.214637,0.158438,0.498659,0.608644,0.248541
lgbm_dart#1,0.186345,0.088955,0.449737,1.059936,0.229942
rf#1,0.156712,-0.014921,0.663901,-0.194304,0.195861
rf#2,0.148512,-0.148424,0.51451,-0.848321,0.21665
lgbm_gbdt#1,0.113228,-0.046493,0.441826,-0.919956,0.147289
N-En,0.082641,0.029897,0.274886,0.483169,0.138939
pcr#1,0.054698,0.000791,0.940352,0.438244,0.055859
pcr#2,0.054698,0.000791,0.940352,0.438244,0.055859
lasso#1,-0.0455,-0.412053,0.148072,-0.979081,0.006396
elasticnet#1,-0.045638,-0.411634,0.142388,-0.979028,0.007435
elasticnet#2,-0.046126,-0.411179,0.138942,-0.978879,0.007408
lasso#2,-0.064062,-0.408916,0.0698,-0.978725,-0.002751
L-En,-0.087334,-0.235148,-0.417778,-0.912771,-0.052788
ffn#1,-1.389584,-0.076227,-1.525548,-0.368,-1.18682
pls#2,-1.564813,-0.583793,-1.896622,-1.202913,-1.544977
ridge#1,-1.579686,-0.110664,-1.490373,-0.668387,-1.329947
ridge#2,-1.598886,-0.106194,-1.501507,-0.657537,-1.346839
ffn#2,-1.683685,-0.097267,-1.73475,-0.48954,-1.452298
pls#1,-5.285764,-0.147905,-2.934923,-1.06928,-5.130542
