model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.330283,0.079959,0.729208,0.389638,0.354637,0.330283
lgbm_dart#2,0.248541,0.137777,0.493729,0.588972,0.256485,0.248541
lgbm_dart#1,0.229942,0.089654,0.450778,1.067401,0.249101,0.229942
rf#2,0.21665,-0.137845,0.518163,-0.830927,0.256992,0.21665
rf#1,0.195861,-0.010423,0.66507,-0.17271,0.2252,0.195861
lgbm_gbdt#1,0.147289,-0.054787,0.440444,-0.935578,0.174333,0.147289
N-En,0.138939,0.03103,0.278972,0.491804,0.142221,0.138939
pcr#1,0.055859,0.000632,0.92982,0.413773,0.058644,0.055859
pcr#2,0.055859,0.000632,0.92982,0.413773,0.058644,0.055859
elasticnet#1,0.007435,-0.391551,0.144177,-0.968141,0.038266,0.007435
elasticnet#2,0.007408,-0.391105,0.140804,-0.967976,0.037946,0.007408
lasso#1,0.006396,-0.391961,0.149892,-0.968225,0.037866,0.006396
lasso#2,-0.002751,-0.3889,0.073089,-0.967677,0.023769,-0.002751
L-En,-0.052788,-0.221236,-0.415176,-0.899865,-0.047078,-0.052788
ffn#1,-1.18682,-0.069923,-1.528904,-0.348402,-1.171068,-1.18682
ridge#1,-1.329947,-0.097776,-1.491989,-0.644705,-1.279715,-1.329947
ridge#2,-1.346839,-0.093483,-1.503256,-0.633445,-1.296058,-1.346839
ffn#2,-1.452298,-0.09061,-1.739152,-0.467621,-1.389593,-1.452298
pls#2,-1.544977,-0.573137,-1.896668,-1.200076,-1.631562,-1.544977
pls#1,-5.130542,-0.142559,-2.92871,-1.061862,-5.326943,-5.130542
