model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ridge#2,0.021689,0.043251,0.500702,0.803067,0.050066
ridge#1,0.020925,0.043055,0.485267,0.80539,0.049939
ffn#1,0.020771,0.070206,0.291646,0.786591,0.128732
ffn#2,0.019913,0.06956,0.28447,0.779185,0.128381
lgbm_gbdt#2,0.004274,0.074809,-0.032209,0.822843,0.128389
pls#2,-0.003839,0.059461,0.014512,0.771355,0.093897
L-En,-0.00574,0.035922,-0.074207,0.999961,0.050886
pcr#2,-0.012522,0.002478,-0.517412,0.609756,0.01838
pcr#1,-0.012522,0.002478,-0.517412,0.609756,0.01838
rf#2,-0.018397,0.10675,0.06503,1.295362,0.142232
rf#1,-0.018397,0.10675,0.06503,1.295362,0.142232
lasso#2,-0.021304,0.028439,-0.318034,0.996497,0.041641
lasso#1,-0.021562,0.028355,-0.321695,0.997594,0.041613
elasticnet#1,-0.023154,0.027845,-0.343808,1.003889,0.041422
elasticnet#2,-0.028641,0.026022,-0.416929,1.027301,0.040835
N-En,-0.040061,0.05995,-0.285211,1.206376,0.127186
lgbm_gbdt#1,-0.054782,0.030427,-0.530844,1.516475,0.094619
pls#1,-0.054919,0.054557,-0.367027,0.979234,0.095364
lgbm_dart#1,-0.19651,-0.027386,-3.018408,-0.550293,0.151659
lgbm_dart#2,-0.353069,-0.044479,-1.208912,-0.859803,0.084587
