model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,-0.011023,-0.001349,0.288946,0.480367,-0.01339
lgbm_dart#1,-0.026123,0.018351,-0.287658,1.317177,-0.025837
lgbm_gbdt#2,-0.046089,0.024114,-1.150769,1.274157,-0.040883
lgbm_gbdt#1,-0.046115,0.02417,-1.151749,1.269976,-0.040907
rf#1,-0.05352,0.006124,-0.851931,0.89339,-0.044676
L-En,-0.066854,-0.017022,-1.087981,-0.459364,-0.057783
N-En,-0.074509,0.007086,-1.097038,0.881091,-0.070405
elasticnet#1,-0.07735,-0.003873,-1.332166,-0.256489,-0.056243
rf#2,-0.081046,0.005847,-0.881038,0.986396,-0.064735
elasticnet#2,-0.083304,-0.003433,-1.417658,-0.253086,-0.062118
lasso#2,-0.086427,-0.002919,-1.435491,-0.248729,-0.065077
lasso#1,-0.086462,-0.002896,-1.435312,-0.248413,-0.06509
ridge#1,-0.093566,-0.012278,-1.338343,-0.457714,-0.079926
ridge#2,-0.093791,-0.012367,-1.333194,-0.461206,-0.08002
pcr#2,-0.098846,-0.008994,-1.148064,-0.244373,-0.105009
pcr#1,-0.098846,-0.008994,-1.148064,-0.244373,-0.105009
pls#2,-0.13651,-0.098846,-1.52637,-1.31831,-0.134981
pls#1,-0.167597,-0.091437,-1.607366,-1.290235,-0.144723
ffn#1,-0.292829,-0.04889,-1.987596,-1.086423,-0.337531
ffn#2,-0.304044,-0.052317,-1.986539,-1.12045,-0.348971
