model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,-0.01339,0.001187,-0.033091,0.389835,-0.000908,-0.01339
lgbm_dart#1,-0.025837,0.012583,-0.335327,1.250036,-0.012638,-0.025837
lgbm_gbdt#2,-0.040883,0.017774,-1.037239,1.271756,-0.035236,-0.040883
lgbm_gbdt#1,-0.040907,0.017786,-1.0384,1.26736,-0.035249,-0.040907
rf#1,-0.044676,0.005107,-0.705462,0.620126,-0.031511,-0.044676
elasticnet#1,-0.056243,-0.009946,-1.126376,-0.395094,-0.045947,-0.056243
L-En,-0.057783,-0.0252,-1.045561,-0.780265,-0.0509,-0.057783
elasticnet#2,-0.062118,-0.009558,-1.226599,-0.382592,-0.049924,-0.062118
rf#2,-0.064735,0.003069,-0.723291,0.54492,-0.0436,-0.064735
lasso#2,-0.065077,-0.009146,-1.250799,-0.371685,-0.052018,-0.065077
lasso#1,-0.06509,-0.009123,-1.250641,-0.371069,-0.052034,-0.06509
N-En,-0.070405,0.001145,-1.079673,0.339146,-0.05749,-0.070405
ridge#1,-0.079926,-0.021096,-1.137911,-0.704936,-0.079872,-0.079926
ridge#2,-0.08002,-0.021182,-1.132945,-0.708,-0.080061,-0.08002
pcr#2,-0.105009,-0.010843,-1.064295,-0.641781,-0.081105,-0.105009
pcr#1,-0.105009,-0.010843,-1.064295,-0.641781,-0.081105,-0.105009
pls#2,-0.134981,-0.12204,-1.620707,-1.979668,-0.151912,-0.134981
pls#1,-0.144723,-0.119106,-1.947909,-1.95388,-0.14397,-0.144723
ffn#1,-0.337531,-0.083437,-2.53088,-2.034963,-0.353059,-0.337531
ffn#2,-0.348971,-0.087179,-2.552077,-2.045682,-0.360022,-0.348971
