model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ffn#1,0.189953,0.205478,2.018007,1.983675,0.302465
ffn#2,0.182339,0.199534,1.990767,1.972241,0.295636
N-En,0.151677,0.137184,2.202123,1.977395,0.231185
L-En,0.116831,0.072809,2.449235,2.167369,0.140131
lasso#2,0.111271,0.051909,2.570121,2.092728,0.127858
lasso#1,0.110337,0.052288,2.55014,2.084824,0.128333
rf#1,0.10429,0.075095,2.306645,1.840783,0.151775
lgbm_gbdt#2,0.097191,0.078146,1.503313,1.420624,0.180656
lgbm_dart#1,0.093083,0.102335,1.624037,1.859746,0.189844
elasticnet#1,0.092737,0.059206,2.255048,2.03609,0.130009
elasticnet#2,0.092515,0.058868,2.237896,1.999382,0.132136
rf#2,0.082994,0.066862,1.992803,1.799896,0.155005
lgbm_dart#2,0.079267,0.097123,1.609132,1.782854,0.18152
lgbm_gbdt#1,0.07445,0.10515,1.290047,1.576308,0.189141
pls#2,0.015685,0.043424,1.450293,1.53765,0.187463
pcr#2,0.009599,-0.001404,-1.014899,-2.551602,-0.010614
pcr#1,0.009599,-0.001404,-1.014899,-2.551602,-0.010614
pls#1,-0.166579,0.058087,0.114786,2.070561,0.079877
ridge#1,-0.293565,0.067663,-0.782653,1.678991,0.033602
ridge#2,-0.299892,0.06752,-0.807444,1.677158,0.031737
