feature,mean_abs_shap
opt_rel_spread_final,0.2731325266202082
log_mid_t,0.17958108598854733
ivrv_ratio_pred,0.06401728382761532
vega_model,0.032119079663942396
dist_to_wall,0.029759609928365738
dgex_proxy_date,0.025479856610551736
oi_herf_date,0.024483700315814334
atm_ivchg_proxy,0.024017916932649406
theta_model,0.021727070387984184
gex_proxy,0.021264590425437463
smile_slope,0.021035157964378694
rr25_proxy,0.02056049184330006
d_log_pcr_oi_opt,0.019627840953060745
tau,0.01914623529335659
is_call,0.01656671205200014
dgex_proxy,0.016500655269272017
log_open_interest_opt,0.016342667478507537
baspread_chg,0.014899609972355586
convexity_proxy,0.014322896889246602
opt_rel_spread_chg,0.013614805899069186
d_iv_atm,0.013489737283209074
ddist_to_wall_date,0.012254909268635303
iv,0.012205357058919255
moneyness_std,0.011770077175629778
log_pcr_oi_opt,0.008668967293955622
ddist_to_wall,0.00844175232065632
atm_iv,0.0070248772199300044
d_log_open_interest_opt,0.006425159162442574
delta_model,0.0063315802258633366
gamma_model,0.005658330628714712
bf25_proxy,0.0031505851790989687
d_funding_rates,0.0
d_log1p_spot_inflow_total,0.0
d_log_open_interest,0.0
d_log_pcr_oi,0.0
