model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.746688,,0.926607,-1.00416,0.782074
lgbm_gbdt#2,0.652601,,0.902643,,0.700637
lgbm_gbdt#1,0.576047,,0.842679,-1.0,0.607829
rf#1,0.441952,,0.892687,,0.475399
rf#2,0.394163,,0.868231,-1.06486,0.424481
lgbm_dart#2,0.324272,,0.659961,-1.01656,0.4017
N-En,0.316085,,0.650574,-1.130311,0.395907
pcr#1,0.079991,,0.772647,-1.0,0.082404
pcr#2,0.079991,,0.772647,-1.06486,0.082404
L-En,-0.923344,,-2.064856,-1.46385,-0.473014
lasso#2,-0.934234,,-1.48381,-1.46385,-0.499196
lasso#1,-0.939392,,-1.490755,-1.46385,-0.50242
elasticnet#2,-1.004864,,-1.5851,-1.46385,-0.544346
elasticnet#1,-1.02659,,-1.619419,-1.46385,-0.558323
ffn#1,-1.123151,,-1.590572,,-0.733874
ffn#2,-1.148317,,-1.603476,,-0.747619
pls#2,-3.030764,,-2.103923,-1.23216,-1.365402
pls#1,-3.994715,,-1.946627,-1.0,-3.624993
ridge#1,-6.62011,,-2.96865,-1.46385,-3.748316
ridge#2,-6.681639,,-2.967832,,-3.781509
