model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.193992,0.102244,1.825177,2.09464,0.192661,0.193992
lgbm_gbdt#1,0.168764,0.073231,2.133281,2.530019,0.152614,0.168764
ffn#1,0.167206,0.060576,2.34673,2.509983,0.169924,0.167206
N-En,0.167128,0.069685,2.335988,2.874472,0.160547,0.167128
ffn#2,0.166466,0.059222,2.35516,2.476688,0.168633,0.166466
lgbm_gbdt#2,0.154834,0.063421,1.781877,2.536848,0.130293,0.154834
rf#1,0.150385,0.059057,2.347018,2.380662,0.141754,0.150385
rf#2,0.149756,0.059008,2.26286,2.526667,0.1428,0.149756
pls#2,0.143358,0.049228,2.035034,2.098644,0.140387,0.143358
pls#1,0.131751,0.036268,1.951249,2.775382,0.121061,0.131751
lgbm_dart#1,0.089251,0.021218,2.480835,3.227136,0.085469,0.089251
L-En,0.074637,0.025187,2.766403,3.145819,0.073267,0.074637
lasso#2,0.067524,0.021579,2.627308,3.285249,0.064837,0.067524
elasticnet#2,0.066704,0.021595,2.621913,3.29119,0.064085,0.066704
elasticnet#1,0.066601,0.021628,2.619897,3.29213,0.064012,0.066601
lasso#1,0.066166,0.021886,2.607875,3.295429,0.063764,0.066166
ridge#1,0.042192,0.028623,2.13567,3.035149,0.044512,0.042192
ridge#2,0.042191,0.028692,2.135979,3.027517,0.04447,0.042191
pcr#2,-0.006121,3.3e-05,-2.222734,0.415142,-0.007343,-0.006121
pcr#1,-0.006121,3.3e-05,-2.222734,0.415142,-0.007343,-0.006121
