model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#2,0.135872,0.158055,1.166804,1.932119,0.126994,0.135872
ffn#1,0.135122,0.157535,1.161887,1.931709,0.126173,0.135122
N-En,0.133716,0.145115,1.165902,1.792715,0.122384,0.133716
rf#1,0.124103,0.130193,1.283699,1.851194,0.114742,0.124103
rf#2,0.121873,0.13173,1.169858,1.825684,0.108971,0.121873
lgbm_gbdt#2,0.11533,0.140977,0.759055,1.324145,0.098156,0.11533
lgbm_dart#2,0.113113,0.131311,0.868511,1.471007,0.096623,0.113113
lgbm_dart#1,0.109187,0.135848,0.813212,1.515998,0.092916,0.109187
lgbm_gbdt#1,0.107754,0.113241,1.078103,1.61967,0.098714,0.107754
pls#2,0.10758,0.131876,1.041932,1.933614,0.091657,0.10758
pls#1,0.101802,0.131812,0.811032,1.887576,0.079157,0.101802
ridge#2,0.087491,0.085006,1.734221,2.384172,0.085837,0.087491
ridge#1,0.087466,0.084756,1.73438,2.385586,0.085777,0.087466
L-En,0.083678,0.076774,1.894655,2.504776,0.080318,0.083678
elasticnet#2,0.078651,0.06615,1.825344,2.457999,0.07488,0.078651
elasticnet#1,0.076907,0.064503,1.843166,2.475378,0.073276,0.076907
lasso#1,0.070535,0.057169,1.79176,2.447625,0.065908,0.070535
lasso#2,0.070527,0.057157,1.791682,2.447651,0.065898,0.070527
pcr#2,-0.0064,-0.000696,-1.816494,-2.841582,-0.006303,-0.0064
pcr#1,-0.0064,-0.000696,-1.816494,-2.841582,-0.006303,-0.0064
