model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,49,1.942814,3.11337,4.368159,0.693878
N-En,49,1.948933,3.148568,4.332931,0.693878
elasticnet#1,49,1.948887,3.147467,4.334346,0.693878
ffn#1,49,1.907536,3.033281,4.402081,0.714286
lasso#2,49,1.940658,3.14859,4.314505,0.673469
lgbm_dart#2,49,1.943516,3.144743,4.326145,0.653061
lgbm_gbdt#2,49,1.921224,3.097132,4.342265,0.673469
pcr#2,49,1.944485,3.100568,4.389969,0.693878
pls#2,49,1.878073,2.903865,4.527246,0.693878
rf#1,49,1.943703,3.109952,4.374962,0.693878
ridge#2,49,1.950578,3.14977,4.334934,0.693878
