model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,8,1.434343,1.981788,2.047109,0.875
N-En,8,1.43517,1.984598,2.045388,0.875
elasticnet#1,8,1.434343,1.981788,2.047109,0.875
elasticnet#2,8,1.434343,1.981788,2.047109,0.875
ffn#1,8,1.439259,1.987089,2.048645,0.875
ffn#2,8,1.436367,1.984152,2.047553,0.875
lasso#1,8,1.434343,1.981788,2.047109,0.875
lasso#2,8,1.434343,1.981788,2.047109,0.875
lgbm_dart#1,8,1.515033,2.163625,1.980547,0.875
lgbm_dart#2,8,1.420297,1.974964,2.034067,0.875
lgbm_gbdt#1,8,1.411476,1.987597,2.008586,0.875
lgbm_gbdt#2,8,1.432571,1.967055,2.059894,0.875
pcr#1,8,1.363209,2.04607,1.884461,0.75
pcr#2,8,1.363209,2.04607,1.884461,0.75
pls#1,8,1.432614,1.982889,2.043506,0.875
pls#2,8,1.432614,1.982889,2.043506,0.875
rf#1,8,1.43903,1.980913,2.054705,0.875
rf#2,8,1.439668,1.982359,2.054116,0.875
ridge#1,8,1.433875,1.98131,2.046935,0.875
ridge#2,8,1.433875,1.98131,2.046935,0.875
