model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#2,0.102919,0.069292,3.179013,3.029702,0.144441
lgbm_gbdt#1,0.102016,0.077557,2.27453,2.859065,0.163164
N-En,0.100928,0.083678,2.740397,4.125348,0.15063
lgbm_dart#2,0.094037,0.075743,2.505067,3.522805,0.146521
pls#2,0.081222,0.071742,2.76714,4.14947,0.145638
L-En,0.061285,0.036281,3.880893,6.113046,0.075117
ffn#1,0.055584,0.08767,2.41265,4.417645,0.135218
lasso#2,0.051579,0.026732,3.917641,6.669317,0.064178
elasticnet#2,0.048687,0.027926,3.87112,6.69584,0.062597
ridge#1,0.035291,0.0355,2.717337,6.170599,0.058661
pcr#1,-0.007172,-0.00018,-4.167997,-0.037147,-0.006152
