model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.000895,0.017864,-0.009818,0.220876,0.017633
L-En,-0.005599,-0.007226,0.337781,0.209266,0.012845
rf#1,-0.031778,0.009164,-0.746469,0.308364,-0.010295
N-En,-0.032113,0.009251,-0.728627,0.182781,-0.025809
elasticnet#2,-0.051902,-0.000902,-0.086154,0.260654,-0.01172
lasso#1,-0.052224,-0.00145,-0.085529,0.198188,-0.012848
lgbm_dart#1,-0.053608,0.001908,-1.222771,-0.62742,-0.060337
pcr#2,-0.060399,0.011091,-0.897908,1.362883,-0.038369
ridge#2,-0.128569,-0.014545,-0.648515,0.234168,-0.100486
pls#1,-0.240171,-0.111428,-2.190167,-1.485232,-0.239714
ffn#1,-0.299867,-0.067719,-2.603219,-0.914745,-0.350881
