model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.017633,0.018038,0.288683,0.549571,0.017277,0.017633
L-En,0.012845,-0.004308,0.550807,0.360197,0.033328,0.012845
rf#1,-0.010295,0.013399,-0.367445,0.521391,-0.028511,-0.010295
elasticnet#2,-0.01172,0.004256,0.3235,0.538883,0.018057,-0.01172
lasso#1,-0.012848,0.00341,0.284568,0.492914,0.015934,-0.012848
N-En,-0.025809,0.00969,-0.450874,0.386407,-0.037574,-0.025809
pcr#2,-0.038369,0.015533,-0.491607,1.347507,-0.02084,-0.038369
lgbm_dart#1,-0.060337,-0.010086,-1.042576,-0.339986,-0.091349,-0.060337
ridge#2,-0.100486,-0.01103,-0.179435,0.377841,-0.013112,-0.100486
pls#1,-0.239714,-0.11984,-1.974151,-1.454671,-0.244215,-0.239714
ffn#1,-0.350881,-0.086848,-2.542763,-0.817694,-0.304261,-0.350881
