model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#2,0.085951,0.10773,0.917533,1.762179,0.059247,0.085951
rf#1,0.080066,0.101446,0.773725,1.546639,0.053661,0.080066
ridge#1,0.07554,0.070566,1.883008,2.396808,0.064714,0.07554
ridge#2,0.075535,0.070762,1.88272,2.394218,0.064651,0.075535
pls#2,0.070994,0.106452,0.65876,1.796546,0.043066,0.070994
L-En,0.070885,0.063701,2.017898,2.496227,0.059231,0.070885
N-En,0.06962,0.114228,0.420832,1.471237,0.039445,0.06962
elasticnet#2,0.067845,0.055195,2.010636,2.503253,0.057196,0.067845
elasticnet#1,0.06657,0.053966,2.034806,2.536877,0.056322,0.06657
pls#1,0.063061,0.103808,0.48166,1.69752,0.033993,0.063061
lasso#1,0.061682,0.04741,2.042158,2.464958,0.051978,0.061682
lasso#2,0.06168,0.047399,2.042181,2.464709,0.05198,0.06168
lgbm_gbdt#1,0.058659,0.085397,0.374636,1.038204,0.032604,0.058659
lgbm_dart#1,0.052648,0.098278,0.185049,0.864073,0.017579,0.052648
ffn#2,0.04663,0.128387,0.148859,1.851067,0.016481,0.04663
ffn#1,0.045486,0.127811,0.140829,1.850401,0.015647,0.045486
lgbm_gbdt#2,0.039865,0.102099,-0.004317,0.78307,-0.000499,0.039865
lgbm_dart#2,0.008864,0.10097,-0.204292,0.989882,-0.027323,0.008864
pcr#2,-0.006325,-0.000561,-2.380064,-2.465617,-0.00616,-0.006325
pcr#1,-0.006325,-0.000561,-2.380064,-2.465617,-0.00616,-0.006325
