model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pls#1,0.205751,0.058476,1.935649,1.274692,0.174172
N-En,0.184415,0.099855,1.622747,1.261879,0.178362
L-En,0.183046,0.075141,1.908276,1.380492,0.142737
lgbm_gbdt#2,0.174271,0.121055,1.004441,1.039011,0.202979
lgbm_dart#2,0.167966,0.057156,1.608484,1.09624,0.14439
lgbm_gbdt#1,0.161617,0.121937,-0.282219,1.041847,0.182965
pcr#1,0.156432,0.026676,1.655367,1.701301,0.109674
pcr#2,0.156432,0.026676,1.655367,1.701301,0.109674
ffn#1,0.156422,0.116741,0.841166,1.414045,0.187924
ffn#2,0.15094,0.117489,0.784138,1.408487,0.185461
elasticnet#2,0.128947,0.047131,2.32274,1.352903,0.097287
elasticnet#1,0.122933,0.048121,2.312096,1.349398,0.096486
lasso#2,0.122765,0.053353,2.217593,1.319795,0.103743
lasso#1,0.119736,0.05187,2.215444,1.321212,0.101238
rf#2,0.115883,0.084364,1.769802,1.360257,0.130676
rf#1,0.109956,0.080124,1.626145,1.28094,0.134664
lgbm_dart#1,0.107986,0.047035,2.015831,1.130537,0.097449
pls#2,0.093244,0.063191,1.544275,1.173326,0.128143
ridge#1,-0.254709,0.139666,-1.055562,1.202431,0.042594
ridge#2,-0.258704,0.139542,-1.071334,1.199823,0.041402
