model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.318228,-0.038279,0.741222,-0.152098,0.354753,0.318228
N-En,0.283886,-0.005418,0.763809,-0.261223,0.30669,0.283886
lgbm_dart#2,0.230283,0.077684,0.906822,0.355669,0.239715,0.230283
rf#2,0.22336,-0.049691,0.763672,-0.577618,0.255874,0.22336
rf#1,0.215555,-0.042733,0.675004,-0.426604,0.259772,0.215555
lgbm_dart#1,0.093434,0.018903,0.459819,0.123438,0.118635,0.093434
L-En,0.025447,-0.211052,0.202484,-0.967264,0.054685,0.025447
elasticnet#1,-0.044948,-0.339749,0.07392,-1.002604,0.014172,-0.044948
elasticnet#2,-0.054229,-0.340058,0.040313,-0.999404,0.006941,-0.054229
pcr#2,-0.102045,-0.086729,-0.813558,-0.934518,-0.093523,-0.102045
pcr#1,-0.102045,-0.086729,-0.813558,-0.934518,-0.093523,-0.102045
lasso#1,-0.141963,-0.393302,-0.356129,-1.024315,-0.05939,-0.141963
lasso#2,-0.199136,-0.415187,-0.858033,-1.022448,-0.106868,-0.199136
ridge#1,-0.390272,0.059271,-0.454399,0.527944,-0.404262,-0.390272
ridge#2,-0.406345,0.066174,-0.471447,0.562905,-0.423358,-0.406345
ffn#2,-0.653569,-0.14887,-0.705117,-0.730784,-0.604054,-0.653569
ffn#1,-0.674264,-0.138755,-0.713932,-0.695724,-0.641583,-0.674264
lgbm_gbdt#1,-0.816067,0.026044,-1.603264,0.816532,-0.914166,-0.816067
pls#1,-0.930013,-0.326158,-1.675806,-0.987186,-0.963409,-0.930013
pls#2,-3.535546,-0.44981,-3.522089,-1.064636,-3.393312,-3.535546
