model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,3,-0.069218,0.347206,-0.345298,0.666667
N-En,3,-0.07322,0.761319,-0.166581,0.333333
elasticnet#1,3,-0.272745,0.36135,-1.307346,0.333333
elasticnet#2,3,-0.272745,0.36135,-1.307346,0.333333
ffn#1,3,0.393084,0.810447,0.84008,0.666667
ffn#2,3,0.393084,0.810447,0.84008,0.666667
lasso#1,3,-0.293646,0.379793,-1.339176,0.333333
lasso#2,3,-0.293646,0.379793,-1.339176,0.333333
lgbm_dart#1,3,-0.061947,0.780838,-0.137411,0.333333
lgbm_dart#2,3,-0.080785,0.756218,-0.185031,0.333333
lgbm_gbdt#1,3,-0.315612,0.985583,-0.554652,0.333333
lgbm_gbdt#2,3,-0.266853,1.024494,-0.451153,0.333333
pcr#1,3,1.394775,2.870535,0.841592,0.333333
pcr#2,3,1.394775,2.870535,0.841592,0.333333
pls#1,3,-0.062111,0.421066,-0.255492,0.666667
pls#2,3,0.241192,0.764109,0.546725,0.666667
rf#1,3,-0.287874,1.021554,-0.488092,0.333333
rf#2,3,-0.275005,1.002436,-0.475165,0.333333
ridge#1,3,0.051364,0.746125,0.119237,0.333333
ridge#2,3,0.051364,0.746125,0.119237,0.333333
