model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ffn#1,0.060751,0.157977,0.400412,0.968112,0.146199
ffn#2,0.05661,0.173045,0.373925,0.918783,0.161063
rf#1,0.056325,0.084582,0.639044,1.354688,0.081903
rf#2,0.026958,0.073421,0.484752,1.667173,0.05486
lgbm_gbdt#1,0.019724,0.056322,0.286294,0.858018,0.068454
pcr#2,0.000792,-0.000832,0.176432,-1.008945,-0.006298
pcr#1,0.000792,-0.000832,0.176432,-1.008945,-0.006298
elasticnet#1,-0.001115,0.047294,-0.118981,1.000164,0.044616
N-En,-0.00122,0.097543,-0.110689,1.124088,0.083694
ridge#1,-0.007501,0.072801,0.20821,0.822209,0.039137
ridge#2,-0.007651,0.072826,0.207667,0.821282,0.03899
lasso#1,-0.017996,0.039644,-0.335712,1.040724,0.044019
elasticnet#2,-0.020298,0.037924,-0.358046,1.045801,0.043896
lasso#2,-0.022125,0.037133,-0.372148,1.055422,0.044411
lgbm_dart#1,-0.072058,0.026389,-0.722693,1.728455,0.038567
L-En,-0.078059,0.059889,-0.708779,1.222857,0.046495
lgbm_dart#2,-0.12551,0.071711,-0.858263,1.206367,0.036064
lgbm_gbdt#2,-0.204651,0.062656,-0.824629,1.164067,0.056314
pls#1,-0.919142,0.044835,-1.295382,0.522305,0.099663
pls#2,-1.047006,0.018723,-1.440862,0.481397,0.071898
