feature,mean_abs_shap
opt_rel_spread_final,0.22385474717459936
log_mid_t,0.1911631230501529
vega_model,0.053640044947252524
tau,0.03246723634523556
d_log_open_interest_opt,0.031580676621360694
moneyness_std,0.02612474643203465
log_open_interest_opt,0.025988794668139015
theta_model,0.02565402979056051
gamma_model,0.024877265658715158
baspread_chg,0.023621356236890743
iv,0.014930910300871441
opt_rel_spread_chg,0.0133052962219765
is_call,0.010499303639230588
delta_model,0.009153097580409676
d_funding_rates,0.0
d_log_open_interest,0.0
d_log_pcr_oi,0.0
d_log1p_spot_inflow_total,0.0
