model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.274376,0.367254,0.727285,1.0,0.307013
pls#2,0.231768,-3047.521892,0.539253,-1.158452,0.393984
rf#2,0.025321,-965.930048,0.56165,-1.356582,0.05046
rf#1,-0.144522,-912.104156,-0.001628,-1.083872,-0.10679
N-En,-0.165477,-500.998023,0.085891,-1.293146,-0.010047
pcr#2,-0.172854,-138.717981,-0.097489,-1.449537,-0.079586
pcr#1,-0.172854,-138.717987,-0.097489,-1.449537,-0.079586
lasso#1,-0.209402,-3187.413134,0.196586,-1.574868,0.074371
lasso#2,-0.247975,-3233.09209,0.172943,-1.572498,0.051155
lgbm_dart#2,-0.266539,-57.47581,-0.189719,-1.288049,-0.144663
pls#1,-0.295219,-1872.87949,0.414378,-1.035632,-0.078149
elasticnet#1,-0.308122,-3330.688184,0.137625,-1.573951,0.017448
lgbm_dart#1,-0.341724,-7.033421,-0.355474,-1.0,-0.213816
elasticnet#2,-0.460886,-2966.105763,0.043488,-1.569028,-0.089552
lgbm_gbdt#2,-0.558848,-229.83468,-0.496524,-1.532345,-0.37005
L-En,-1.111769,-3274.376896,-0.259292,-1.351948,-0.515136
ffn#1,-3.297178,-2603.713691,-1.021083,-1.375398,-2.266784
ffn#2,-3.325164,-2758.939891,-1.028559,-1.323285,-2.304038
ridge#1,-20.139059,-15060.517983,-3.333618,-1.334357,-13.954451
ridge#2,-20.285336,-15051.846851,-3.354805,-1.334343,-14.060092
