model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pls#2,0.393984,-2936.809698,0.505201,-1.163483,0.513975,0.393984
lgbm_gbdt#1,0.307013,0.347758,0.726833,1.0,0.321425,0.307013
lasso#1,0.074371,-3231.437571,0.229962,-1.577367,0.18437,0.074371
lasso#2,0.051155,-3274.607081,0.206856,-1.575473,0.170431,0.051155
rf#2,0.05046,-949.434164,0.508753,-1.365827,0.112445,0.05046
elasticnet#1,0.017448,-3375.378649,0.175146,-1.576644,0.146867,0.017448
N-En,-0.010047,-489.347419,0.096976,-1.301465,0.074494,-0.010047
pls#1,-0.078149,-1780.918889,0.355508,-1.036819,0.345309,-0.078149
pcr#2,-0.079586,-137.698112,-0.101799,-1.458861,-0.052318,-0.079586
pcr#1,-0.079586,-137.698118,-0.101799,-1.458861,-0.052318,-0.079586
elasticnet#2,-0.089552,-3000.606504,0.082156,-1.572584,0.072047,-0.089552
rf#1,-0.10679,-872.035814,-0.109397,-1.086627,-0.01546,-0.10679
lgbm_dart#2,-0.144663,-56.11101,-0.190931,-1.296272,-0.119282,-0.144663
lgbm_dart#1,-0.213816,-6.660038,-0.356656,-1.0,-0.174659,-0.213816
lgbm_gbdt#2,-0.37005,-237.997753,-0.47601,-1.525074,-0.232836,-0.37005
L-En,-0.515136,-3216.958022,-0.230595,-1.361144,-0.277539,-0.515136
ffn#1,-2.266784,-2564.136388,-0.981752,-1.384804,-1.611893,-2.266784
ffn#2,-2.304038,-2702.821231,-0.989341,-1.332111,-1.646267,-2.304038
ridge#1,-13.954451,-14770.418183,-3.238713,-1.34334,-10.490471,-13.954451
ridge#2,-14.060092,-14761.892909,-3.259455,-1.343325,-10.573418,-14.060092
