model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.070418,0.067197,0.805806,1.62567,0.180483
N-En,0.062006,0.061394,1.311009,1.732753,0.161991
lgbm_dart#1,0.055139,0.061727,0.541862,1.955771,0.134616
lgbm_gbdt#1,0.051127,0.049948,1.094373,1.086366,0.180879
lgbm_dart#2,0.049638,0.061165,-0.002487,1.881816,0.148668
rf#1,0.044214,0.056179,0.827316,1.424509,0.192725
L-En,0.036854,0.030955,1.302578,1.597961,0.09006
ffn#1,0.032284,0.044143,1.104399,1.206007,0.136167
ffn#2,0.03166,0.043761,1.095749,1.189902,0.13709
ridge#1,0.027569,0.037055,1.027661,1.58228,0.089731
ridge#2,0.027405,0.037142,1.013744,1.582219,0.089914
elasticnet#2,0.027336,0.029006,1.524058,1.648787,0.070731
elasticnet#1,0.02611,0.028612,1.462167,1.662578,0.069958
lasso#2,0.025829,0.028526,1.437931,1.641395,0.070574
lasso#1,0.024587,0.027983,1.361648,1.642333,0.070145
rf#2,0.02272,0.045966,0.662375,1.477872,0.155526
pcr#2,0.001226,0.007934,-0.379656,0.456505,0.029576
pcr#1,0.001226,0.007934,-0.379656,0.456505,0.029576
pls#2,-0.013598,0.019879,-0.763087,0.671457,0.163405
pls#1,-0.037225,-0.002592,-1.20894,0.004947,0.155486
