model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,3,0.02855,0.093164,0.530777,0.666667
N-En,3,-0.044705,0.070369,-1.10037,0.333333
elasticnet#1,3,0.028784,0.092823,0.537095,0.666667
elasticnet#2,3,0.028784,0.092823,0.537095,0.666667
ffn#1,3,-0.016098,0.126083,-0.22115,0.333333
ffn#2,3,-0.016098,0.126083,-0.22115,0.333333
lasso#1,3,0.028784,0.092823,0.537095,0.666667
lasso#2,3,0.028784,0.092823,0.537095,0.666667
lgbm_dart#1,3,-0.034408,0.023669,-2.517875,0.0
lgbm_dart#2,3,-0.028737,0.07275,-0.684171,0.333333
lgbm_gbdt#1,3,-0.067417,0.07879,-1.482037,0.0
lgbm_gbdt#2,3,-0.012307,0.044186,-0.482408,0.333333
pcr#1,3,-0.039466,0.086491,-0.790348,0.333333
pcr#2,3,-0.039466,0.086491,-0.790348,0.333333
pls#1,3,0.045732,0.096095,0.824288,0.666667
pls#2,3,0.028077,0.078244,0.621521,0.666667
rf#1,3,0.055018,0.107489,0.886545,0.666667
rf#2,3,0.055018,0.107489,0.886545,0.666667
ridge#1,3,-0.045478,0.066242,-1.189122,0.333333
ridge#2,3,-0.045478,0.066242,-1.189122,0.333333
