model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,4,2.078657,2.533822,1.640728,0.75
N-En,4,2.245418,2.563058,1.75214,0.75
elasticnet#1,4,1.896885,2.283988,1.661029,0.75
elasticnet#2,4,1.896885,2.283988,1.661029,0.75
ffn#1,4,1.442233,2.421984,1.190951,0.75
ffn#2,4,1.442233,2.421984,1.190951,0.75
lasso#1,4,1.751283,2.072031,1.690402,0.75
lasso#2,4,1.751283,2.072031,1.690402,0.75
lgbm_dart#1,4,2.151627,2.471724,1.740993,0.75
lgbm_dart#2,4,1.911195,2.268549,1.684949,0.75
lgbm_gbdt#1,4,1.815416,2.076581,1.748466,0.75
lgbm_gbdt#2,4,1.907963,2.174808,1.754603,0.75
pcr#1,4,-0.8776,2.75002,-0.63825,0.75
pcr#2,4,-0.8776,2.75002,-0.63825,0.75
pls#1,4,2.064563,2.548667,1.620112,0.75
pls#2,4,2.090202,2.390239,1.748948,0.75
rf#1,4,2.075477,2.389833,1.736922,0.75
rf#2,4,2.148276,2.475712,1.735482,0.75
ridge#1,4,2.701898,3.148631,1.716237,0.75
ridge#2,4,2.701898,3.148631,1.716237,0.75
