model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.056886,0.052669,3.766333,3.433842,0.104956
lgbm_dart#1,0.048773,0.06034,2.707759,2.466875,0.138396
N-En,0.048484,0.061886,2.649169,2.749295,0.13557
L-En,0.03265,0.052468,2.54337,3.102805,0.10746
rf#1,0.031164,0.047666,1.832973,2.093683,0.13856
pcr#2,0.024804,0.033888,2.99234,3.597178,0.072707
elasticnet#2,0.006401,0.044422,1.93049,3.197456,0.092237
lasso#1,0.004388,0.043828,1.885722,3.199082,0.092972
ridge#2,-0.075032,0.047749,-0.197442,3.056278,0.090301
pls#1,-0.10011,0.006499,-0.860894,1.050152,0.129854
ffn#1,-0.145946,-0.020104,-1.034818,0.425887,0.099923
