feature,coef,intercept
moneyness_std,-0.0,0.22180756717039912
tau,-0.0,0.22180756717039912
is_call,0.0,0.22180756717039912
delta_model,-0.0,0.22180756717039912
theta_model,-0.021423487569959952,0.22180756717039912
gamma_model,0.0,0.22180756717039912
vega_model,-0.043106383869367625,0.22180756717039912
iv,-0.06151615728952493,0.22180756717039912
log_mid_t,-0.10059093415199533,0.22180756717039912
opt_rel_spread_final,0.14516502485972502,0.22180756717039912
opt_rel_spread_chg,0.011343665531800724,0.22180756717039912
baspread_chg,0.011343761037002922,0.22180756717039912
log_open_interest_opt,0.0,0.22180756717039912
d_log_open_interest_opt,-0.006106937496710906,0.22180756717039912
atm_iv,0.10341368326824149,0.22180756717039912
smile_slope,0.0,0.22180756717039912
convexity_proxy,-0.0004484351636113688,0.22180756717039912
rr25_proxy,-0.022812656026079424,0.22180756717039912
bf25_proxy,0.011236072100379427,0.22180756717039912
ivrv_ratio_pred,-0.009239411080320326,0.22180756717039912
d_iv_atm,0.025615572076240996,0.22180756717039912
atm_ivchg_proxy,0.024740281729517977,0.22180756717039912
dist_to_wall,-0.0009494956841148588,0.22180756717039912
ddist_to_wall,-0.01534191700089555,0.22180756717039912
gex_proxy,0.021516249703425076,0.22180756717039912
dgex_proxy,-0.012581703827484773,0.22180756717039912
ddist_to_wall_date,0.0,0.22180756717039912
dgex_proxy_date,0.014820804936624596,0.22180756717039912
oi_herf_date,0.0,0.22180756717039912
log_pcr_oi_opt,-0.010624622281678573,0.22180756717039912
d_log_pcr_oi_opt,0.025028770183181732,0.22180756717039912
