feature,coef,intercept
moneyness_std,-0.032570074551441605,0.25016257731942343
tau,0.09204914160373372,0.25016257731942343
is_call,0.06669663491743645,0.25016257731942343
delta_model,-0.04401166897709416,0.25016257731942343
theta_model,-0.21747601675553077,0.25016257731942343
gamma_model,-0.008600955519801728,0.25016257731942343
vega_model,-0.26586082456171356,0.25016257731942343
iv,-0.11703056795253174,0.25016257731942343
log_mid_t,-0.11060162001662674,0.25016257731942343
opt_rel_spread_final,0.13299787580560996,0.25016257731942343
opt_rel_spread_chg,0.0189279565166211,0.25016257731942343
baspread_chg,0.018927956516621238,0.25016257731942343
log_open_interest_opt,-0.006961091173751241,0.25016257731942343
d_log_open_interest_opt,-0.011114373500705002,0.25016257731942343
atm_iv,0.11703970140806771,0.25016257731942343
smile_slope,0.0033343742628408057,0.25016257731942343
convexity_proxy,-0.010313202159725848,0.25016257731942343
rr25_proxy,-0.03546525712143291,0.25016257731942343
bf25_proxy,0.018081159409611733,0.25016257731942343
ivrv_ratio_pred,-0.02470441649919021,0.25016257731942343
d_iv_atm,0.025903397507378478,0.25016257731942343
atm_ivchg_proxy,0.025903397507378145,0.25016257731942343
dist_to_wall,-0.010743270013632893,0.25016257731942343
ddist_to_wall,-0.0029373229688054578,0.25016257731942343
gex_proxy,0.019146729402143108,0.25016257731942343
dgex_proxy,-0.4262167873365927,0.25016257731942343
ddist_to_wall_date,-0.00823204785782096,0.25016257731942343
dgex_proxy_date,0.43805585701815075,0.25016257731942343
oi_herf_date,-0.026349592653792678,0.25016257731942343
log_pcr_oi_opt,-0.023484057756632357,0.25016257731942343
d_log_pcr_oi_opt,0.05360320730303116,0.25016257731942343
