feature,coef,intercept
moneyness_std,-0.0,0.22377924369543195
tau,-0.0,0.22377924369543195
is_call,0.0,0.22377924369543195
delta_model,0.0,0.22377924369543195
theta_model,-0.0017745158722762898,0.22377924369543195
gamma_model,0.0,0.22377924369543195
vega_model,-0.02673987029483007,0.22377924369543195
iv,-0.06101316656784367,0.22377924369543195
log_mid_t,-0.09335202568505026,0.22377924369543195
opt_rel_spread_final,0.1612123661767272,0.22377924369543195
opt_rel_spread_chg,0.013764694145521774,0.22377924369543195
baspread_chg,1.2123617433092617e-16,0.22377924369543195
log_open_interest_opt,-0.0,0.22377924369543195
d_log_open_interest_opt,-0.00617859994045385,0.22377924369543195
atm_iv,0.10523838051305259,0.22377924369543195
smile_slope,0.0,0.22377924369543195
convexity_proxy,-0.0,0.22377924369543195
rr25_proxy,-0.01939947804972244,0.22377924369543195
bf25_proxy,0.009301934080609848,0.22377924369543195
ivrv_ratio_pred,-0.008669385433070794,0.22377924369543195
d_iv_atm,0.047498735877509274,0.22377924369543195
atm_ivchg_proxy,1.0971257469309379e-16,0.22377924369543195
dist_to_wall,-0.0,0.22377924369543195
ddist_to_wall,-0.015206406318669763,0.22377924369543195
gex_proxy,0.021914312335985196,0.22377924369543195
dgex_proxy,-0.0,0.22377924369543195
ddist_to_wall_date,-0.0,0.22377924369543195
dgex_proxy_date,0.0,0.22377924369543195
oi_herf_date,0.0,0.22377924369543195
log_pcr_oi_opt,-0.005739443289025053,0.22377924369543195
d_log_pcr_oi_opt,0.021031487708683797,0.22377924369543195
