model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#1,0.142875,0.077875,1.845677,2.252009,0.200466
lgbm_gbdt#1,0.130858,0.099554,1.869961,2.33065,0.187526
lgbm_gbdt#2,0.126631,0.093325,1.810926,2.384309,0.187128
N-En,0.121178,0.076255,1.766118,2.405031,0.167626
rf#2,0.117954,0.064565,1.808226,2.172676,0.162736
pls#2,0.114524,0.047706,1.582117,1.856475,0.174649
lgbm_dart#2,0.114462,0.072338,1.860007,2.400786,0.153795
pls#1,0.106215,0.048212,1.569466,1.933191,0.16566
ffn#2,0.097116,0.054319,1.453496,1.989076,0.143852
lgbm_dart#1,0.096843,0.066808,1.82219,2.296944,0.138202
ffn#1,0.096629,0.05351,1.450008,1.985422,0.14281
L-En,0.07496,0.029805,1.834653,2.509173,0.09366
ridge#2,0.074124,0.029951,1.735155,2.160261,0.094487
ridge#1,0.073969,0.02992,1.733882,2.161816,0.094269
lasso#2,0.060041,0.024728,1.763533,2.668501,0.073527
elasticnet#2,0.059988,0.024992,1.753394,2.625875,0.073598
lasso#1,0.059893,0.024244,1.782269,2.717521,0.073158
elasticnet#1,0.059609,0.02441,1.768912,2.680044,0.072875
pcr#1,0.024078,0.009747,1.528228,1.704002,0.032005
pcr#2,0.024078,0.009747,1.528228,1.704002,0.032005
