model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.200466,0.113489,2.331127,2.378117,0.160574,0.200466
lgbm_gbdt#1,0.187526,0.128771,2.325,2.4476,0.145586,0.187526
lgbm_gbdt#2,0.187128,0.125209,2.361069,2.609974,0.153584,0.187128
pls#2,0.174649,0.065889,2.131828,2.370702,0.156723,0.174649
N-En,0.167626,0.098574,2.347679,2.52218,0.142016,0.167626
pls#1,0.16566,0.068843,2.123884,2.404011,0.149223,0.16566
rf#2,0.162736,0.088049,2.35028,2.292377,0.130369,0.162736
lgbm_dart#2,0.153795,0.093144,2.473585,2.42311,0.130127,0.153795
ffn#2,0.143852,0.067787,1.985196,2.302509,0.141819,0.143852
ffn#1,0.14281,0.066997,1.981116,2.297557,0.141006,0.14281
lgbm_dart#1,0.138202,0.085983,2.445351,2.456715,0.11442,0.138202
ridge#2,0.094487,0.033605,2.341486,2.803472,0.084274,0.094487
ridge#1,0.094269,0.033541,2.339828,2.805454,0.084145,0.094269
L-En,0.09366,0.034958,2.404687,2.820534,0.082149,0.09366
elasticnet#2,0.073598,0.026885,2.306435,2.993067,0.066643,0.073598
lasso#2,0.073527,0.02666,2.314738,2.997861,0.066354,0.073527
lasso#1,0.073158,0.026258,2.334186,2.999783,0.065622,0.073158
elasticnet#1,0.072875,0.026405,2.3214,2.996104,0.065635,0.072875
pcr#1,0.032005,0.014148,2.172904,2.234167,0.021022,0.032005
pcr#2,0.032005,0.014148,2.172904,2.234167,0.021022,0.032005
