model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,3,2.490179,2.182351,1.976362,1.0
N-En,3,2.486888,2.181466,1.974551,1.0
elasticnet#1,3,2.490433,2.18242,1.976502,1.0
elasticnet#2,3,2.490433,2.18242,1.976502,1.0
ffn#1,3,2.554928,2.276338,1.944028,1.0
ffn#2,3,2.554928,2.276338,1.944028,1.0
lasso#1,3,2.490433,2.18242,1.976502,1.0
lasso#2,3,2.490433,2.18242,1.976502,1.0
lgbm_dart#1,3,2.556195,2.276459,1.944889,1.0
lgbm_dart#2,3,2.488602,2.190978,1.967334,1.0
lgbm_gbdt#1,3,2.490234,2.182366,1.976393,1.0
lgbm_gbdt#2,3,2.445483,2.121108,1.996928,1.0
pcr#1,3,2.216746,1.84385,2.082337,1.0
pcr#2,3,2.216746,1.84385,2.082337,1.0
pls#1,3,2.484657,2.185898,1.96878,1.0
pls#2,3,2.487327,2.181584,1.974794,1.0
rf#1,3,2.475969,2.195226,1.95356,1.0
rf#2,3,2.481377,2.196695,1.956517,1.0
ridge#1,3,2.51399,2.212704,1.96789,1.0
ridge#2,3,2.51399,2.212704,1.96789,1.0
