model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,15,2.104459,2.814496,2.895913,0.733333
N-En,15,2.135059,2.836593,2.915135,0.733333
elasticnet#1,15,2.000933,2.693982,2.876627,0.8
elasticnet#2,15,2.001958,2.693765,2.878332,0.8
ffn#1,15,2.305831,3.188548,2.800787,0.733333
ffn#2,15,2.305831,3.188548,2.800787,0.733333
lasso#1,15,2.001958,2.693765,2.878332,0.8
lasso#2,15,2.001958,2.693765,2.878332,0.8
lgbm_dart#1,15,2.100816,2.789044,2.917282,0.8
lgbm_dart#2,15,2.1432,2.839048,2.923718,0.733333
lgbm_gbdt#1,15,2.134435,2.845589,2.905069,0.8
lgbm_gbdt#2,15,2.057433,2.7088,2.941673,0.733333
pcr#1,15,-1.484949,2.343422,-2.454182,0.266667
pcr#2,15,-1.484949,2.343422,-2.454182,0.266667
pls#1,15,1.994349,2.583612,2.989644,0.733333
pls#2,15,2.274969,3.139139,2.806795,0.733333
rf#1,15,2.056344,2.735686,2.91122,0.733333
rf#2,15,2.053211,2.734235,2.908327,0.733333
ridge#1,15,1.905684,2.523828,2.9244,0.733333
ridge#2,15,1.905684,2.523828,2.9244,0.733333
