model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#2,0.22878,0.169336,2.106179,2.296278,0.183404,0.22878
ffn#1,0.228467,0.165801,2.148318,2.312452,0.185822,0.228467
lgbm_gbdt#1,0.224725,0.140729,1.81776,1.81449,0.187539,0.224725
N-En,0.209897,0.135207,2.084593,2.107342,0.177966,0.209897
rf#2,0.204049,0.135377,1.728151,1.81659,0.172145,0.204049
rf#1,0.200528,0.13466,1.762545,1.775777,0.171597,0.200528
pls#2,0.191629,0.116216,2.041598,2.162592,0.175309,0.191629
lgbm_gbdt#2,0.18295,0.100652,1.751024,1.609313,0.149089,0.18295
pls#1,0.177551,0.10548,2.045219,2.32714,0.175878,0.177551
lgbm_dart#2,0.172775,0.101758,2.152516,2.201057,0.155466,0.172775
lgbm_dart#1,0.146966,0.082694,2.255282,2.158622,0.135679,0.146966
L-En,0.137147,0.082625,2.602569,2.501537,0.137712,0.137147
ridge#2,0.125101,0.121377,2.118727,2.41744,0.109202,0.125101
ridge#1,0.123207,0.119663,2.126033,2.418465,0.108064,0.123207
elasticnet#1,0.106399,0.058075,2.507047,2.433619,0.114826,0.106399
pcr#1,0.103786,0.052712,2.560037,2.609472,0.111621,0.103786
pcr#2,0.103786,0.052712,2.560037,2.609472,0.111621,0.103786
lasso#2,0.103027,0.053953,2.458119,2.304282,0.115759,0.103027
lasso#1,0.102774,0.053735,2.459819,2.306631,0.115435,0.102774
elasticnet#2,0.102471,0.053909,2.502717,2.410161,0.11159,0.102471
